 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	FWHM_Mult	Source_Rad(base)	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_C4	rel_flux_C5	rel_flux_C6	rel_flux_C7	rel_flux_T8	rel_flux_T9	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_err_C4	rel_flux_err_C5	rel_flux_err_C6	rel_flux_err_C7	rel_flux_err_T8	rel_flux_err_T9	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	rel_flux_SNR_C4	rel_flux_SNR_C5	rel_flux_SNR_C6	rel_flux_SNR_C7	rel_flux_SNR_T8	rel_flux_SNR_T9	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	X(IJ)_C4	Y(IJ)_C4	X(FITS)_C4	Y(FITS)_C4	RA_C4	DEC_C4	Source-Sky_C4	Source_Error_C4	Source_SNR_C4	Peak_C4	Mean_C4	Sky/Pixel_C4	FWHM_C4	Width_C4	X-Width_C4	Y-Width_C4	Angle_C4	Roundness_C4	X(IJ)_C5	Y(IJ)_C5	X(FITS)_C5	Y(FITS)_C5	RA_C5	DEC_C5	Source-Sky_C5	Source_Error_C5	Source_SNR_C5	Peak_C5	Mean_C5	Sky/Pixel_C5	FWHM_C5	Width_C5	X-Width_C5	Y-Width_C5	Angle_C5	Roundness_C5	X(IJ)_C6	Y(IJ)_C6	X(FITS)_C6	Y(FITS)_C6	RA_C6	DEC_C6	Source-Sky_C6	Source_Error_C6	Source_SNR_C6	Peak_C6	Mean_C6	Sky/Pixel_C6	FWHM_C6	Width_C6	X-Width_C6	Y-Width_C6	Angle_C6	Roundness_C6	X(IJ)_C7	Y(IJ)_C7	X(FITS)_C7	Y(FITS)_C7	RA_C7	DEC_C7	Source-Sky_C7	Source_Error_C7	Source_SNR_C7	Peak_C7	Mean_C7	Sky/Pixel_C7	FWHM_C7	Width_C7	X-Width_C7	Y-Width_C7	Angle_C7	Roundness_C7	X(IJ)_T8	Y(IJ)_T8	X(FITS)_T8	Y(FITS)_T8	RA_T8	DEC_T8	Source-Sky_T8	Source_Error_T8	Source_SNR_T8	Peak_T8	Mean_T8	Sky/Pixel_T8	FWHM_T8	Width_T8	X-Width_T8	Y-Width_T8	Angle_T8	Roundness_T8	X(IJ)_T9	Y(IJ)_T9	X(FITS)_T9	Y(FITS)_T9	RA_T9	DEC_T9	Source-Sky_T9	Source_Error_T9	Source_SNR_T9	Peak_T9	Mean_T9	Sky/Pixel_T9	FWHM_T9	Width_T9	X-Width_T9	Y-Width_T9	Angle_T9	Roundness_T9
12	TIC_99869022.01-S001-R014-C001-g_out_lin.fts	12.000000	0.000000	58884.452650	2458884.452650	2458884.451609	2458884.456338	2458884.457169	1.315242	49.428051	-20.417621	180.000000	11.104788	61.463479	8.160139	14.024279	1.200000	26.000000	44.000000	56.000000	0.693730	0.225895	0.176657	0.324617	0.418489	0.069013	0.064905	0.092863	0.082507	0.000812	0.000487	0.000430	0.000606	0.000729	0.000316	0.000312	0.000318	0.000310	854.725690	464.188220	410.560746	535.480741	573.689475	218.376771	208.359595	292.357618	265.887097	2068770.931718	1760.948413	1104.910812	737.127939	1105.410812	735.372061	11.125378	61.352648	1435168.440620	617.889693	1151.958750	1245.850548	21440.000000	2322.693608	359.336140	3128.000000	7.220866	11.471748	11.264113	11.679383	61.116735	0.995397	1258.842646	258.903880	1259.342646	1213.596120	11.122645	61.262931	381211.481230	737.537512	516.870634	6424.000000	616.957178	356.478114	6.972011	11.272021	11.280905	11.263137	44.477125	0.992540	1160.667891	264.832618	1161.167891	1207.667382	11.125109	61.265723	310593.717977	700.610064	443.318950	5343.000000	502.668553	355.661002	6.988330	11.333118	11.110105	11.556131	64.258710	0.996009	277.312371	1016.458404	277.812371	456.041596	11.145693	61.417533	506982.421232	797.949386	635.356615	7321.000000	820.506357	354.484132	7.582017	11.671840	11.386310	11.957369	76.687141	0.997008	1940.216848	579.173686	1940.716848	893.326314	11.104645	61.309024	610338.192271	844.851655	722.420544	8184.000000	987.778562	356.968607	7.942896	11.859894	11.838122	11.881666	46.273710	0.993176	571.895009	836.219562	572.395009	636.280438	11.138642	61.379804	133555.575373	600.819541	222.289001	2269.000000	216.147926	356.492417	7.500835	10.600766	10.128991	11.072542	65.434275	0.981569	755.903654	752.151664	756.403654	720.348336	11.134178	61.361386	126089.543636	595.517933	211.730893	2313.000000	204.064811	357.391122	7.150046	11.204978	10.780556	11.629399	71.276692	0.990921	1259.833622	480.716194	1260.333622	991.783806	11.122082	61.303280	192112.819353	636.443243	301.853812	3282.000000	310.917663	358.371314	7.116207	12.094371	11.790063	12.398679	65.228429	0.993993	1573.398088	757.105527	1573.898088	715.394473	11.113473	61.348022	170688.877468	625.302390	272.970134	2760.000000	276.244902	358.549552	7.537125	11.202121	10.660456	11.743786	64.187455	0.975846
13	TIC_99869022.01-S001-R015-C001-g_out_lin.fts	13.000000	0.000000	58884.456076	2458884.456076	2458884.455035	2458884.459764	2458884.460595	1.303892	50.016567	-20.417621	180.000000	11.104788	61.463479	7.992124	13.714808	1.200000	26.000000	44.000000	56.000000	0.692995	0.226148	0.177028	0.325347	0.416430	0.069385	0.064733	0.091983	0.082710	0.000802	0.000480	0.000425	0.000600	0.000718	0.000310	0.000306	0.000312	0.000305	863.693618	470.868628	416.965883	542.428244	579.962766	223.843599	211.738197	294.977236	271.385330	2078914.528000	1745.219378	1103.379422	738.292316	1103.879422	734.207684	11.125385	61.352638	1440677.642364	590.920911	1148.759478	1254.116001	23686.000000	2438.021088	363.854635	3180.000000	6.934836	11.238209	10.996805	11.479613	61.385316	0.993706	1257.152241	260.086485	1257.652241	1212.413515	11.122675	61.262885	383430.135075	731.207646	524.379275	6651.000000	648.868788	362.323344	6.848247	10.998848	10.750848	11.246848	86.453162	0.997937	1158.979056	266.010610	1159.479056	1206.489390	11.125132	61.265685	312673.503109	694.240471	450.382131	5649.000000	529.129190	360.934526	6.773899	11.692942	11.437315	11.948569	58.173076	0.990303	275.714462	1017.611086	276.214462	454.888914	11.145647	61.417608	510332.918727	793.337084	643.273747	8042.000000	863.623049	360.189758	7.288526	11.318068	10.754083	11.882053	73.554600	0.985983	1938.579020	580.291659	1939.079020	892.208341	11.104709	61.308932	611200.630725	839.425428	728.117841	8705.000000	1034.318839	361.481528	7.734202	11.463167	11.277393	11.648941	54.338163	0.989760	570.235159	837.356171	570.735159	635.143829	11.138618	61.379841	134885.501273	591.722089	227.954142	2475.000000	228.263205	360.394585	7.093409	9.916595	9.838057	9.995132	49.236320	0.988444	754.292577	753.254455	754.792577	719.245545	11.134166	61.361396	126391.839090	587.369061	215.183004	2394.000000	213.889603	361.726825	6.886503	10.956972	10.817358	11.096587	50.108472	0.979365	1258.194125	481.854226	1258.694125	990.645774	11.122106	61.303239	191225.686182	628.082156	304.459670	3455.000000	323.606227	363.871038	6.945930	11.695492	11.885974	11.505011	34.072648	0.992347	1571.799055	758.221168	1572.299055	714.278832	11.113510	61.347969	171947.122634	616.928365	278.714892	2959.000000	290.981618	363.726730	7.263425	11.728246	11.398183	12.058310	55.274854	0.974329
14	TIC_99869022.01-S001-R016-C001-g_out_lin.fts	14.000000	0.000000	58884.459410	2458884.459410	2458884.458368	2458884.463097	2458884.463928	1.293191	50.587696	-20.417621	180.000000	11.104788	61.463479	7.853293	13.604295	1.200000	26.000000	44.000000	56.000000	0.695367	0.226512	0.176552	0.324016	0.419190	0.068764	0.064766	0.092569	0.082720	0.000801	0.000477	0.000421	0.000594	0.000717	0.000306	0.000302	0.000309	0.000302	868.514646	474.428229	419.280729	545.459593	584.240426	224.797727	214.253182	299.679080	274.356253	2071409.298682	1726.260512	1101.065286	739.885802	1101.565286	732.614198	11.125378	61.352523	1440390.563913	581.436069	1144.351693	1258.695708	23856.000000	2477.298263	352.219887	3195.000000	6.781888	11.174151	11.034626	11.313675	62.325851	0.998072	1254.927589	261.687045	1255.427589	1210.812955	11.122644	61.262846	382548.063176	723.998684	528.382263	6860.000000	657.936588	349.987670	6.726376	11.035195	10.587641	11.482749	77.269689	0.991955	1156.768128	267.630280	1157.268128	1204.869720	11.125111	61.265646	310833.088914	686.588522	452.721068	5614.000000	534.595471	350.412748	6.733422	11.124243	10.791796	11.456690	73.752135	0.994987	273.460411	1019.377425	273.960411	453.122575	11.145719	61.417465	506919.587258	784.497245	646.171278	8428.000000	871.840627	347.614810	7.045225	11.544614	11.416509	11.672719	53.338341	0.994021	1936.442231	581.927825	1936.942231	890.572175	11.104617	61.308855	611837.382058	833.802454	733.791774	8758.000000	1052.286596	350.890846	7.594383	11.369127	11.128107	11.610147	60.889467	0.993524	567.979110	839.033500	568.479110	633.466500	11.138660	61.379716	133273.726383	582.233590	228.900786	2521.000000	229.214755	349.053863	6.883246	10.024069	9.564040	10.484098	63.524754	0.976890	752.036822	754.919950	752.536822	717.580050	11.134190	61.361285	125997.450893	578.566374	217.775274	2385.000000	216.700438	350.319089	6.841507	11.039699	10.977484	11.101913	309.076245	0.996986	1255.946799	483.374379	1256.446799	989.125621	11.122079	61.303151	191749.281123	619.572978	309.486191	3461.000000	329.785666	351.857275	6.828241	11.479992	11.605853	11.354130	28.943236	0.998299	1569.687794	759.907883	1570.187794	712.592117	11.113454	61.347870	171346.386533	607.996110	281.821518	2962.000000	294.695145	352.677934	7.253221	10.976990	10.397888	11.556093	88.348261	0.988892
15	TIC_99869022.01-S001-R017-C001-g_out_lin.fts	15.000000	0.000000	58884.462685	2458884.462685	2458884.461644	2458884.466372	2458884.467204	1.282998	51.147242	-19.977101	180.000000	11.104788	61.463479	7.960115	13.885346	1.200000	26.000000	44.000000	56.000000	0.694025	0.225499	0.175241	0.323661	0.420197	0.069485	0.065553	0.092803	0.083235	0.000803	0.000479	0.000423	0.000598	0.000723	0.000311	0.000307	0.000312	0.000305	864.073100	470.721403	414.754202	541.603134	581.409457	223.539114	213.733450	297.351918	272.458405	2079138.680483	1745.188434	1099.555537	735.149674	1100.055537	737.350326	11.125380	61.352614	1442973.548194	605.707950	1149.684734	1255.103686	23275.000000	2382.292571	351.051952	3160.000000	6.878823	11.237747	10.931569	11.543924	78.966550	0.996548	1253.416436	256.975028	1253.916436	1215.524972	11.122641	61.262946	382573.869354	729.906787	524.140721	6747.000000	631.614410	344.577607	6.745547	10.899134	10.937497	10.860772	21.995236	0.999904	1155.292201	262.883523	1155.792201	1209.616477	11.125105	61.265726	310021.790117	692.776035	447.506516	5363.000000	511.833781	345.387267	6.849048	10.400526	10.232563	10.568488	61.605773	0.996525	271.944686	1014.641235	272.444686	457.858765	11.145711	61.417452	508390.529824	792.356316	641.618574	7931.000000	839.332768	347.904982	7.300670	11.211785	10.804714	11.618857	273.156201	0.994677	1934.995543	577.066248	1935.495543	895.433752	11.104630	61.309031	615159.581481	840.498216	731.898735	8663.000000	1015.604273	348.038205	7.751734	11.556152	11.299990	11.812314	63.622752	0.994640	566.517003	834.356758	567.017003	638.143242	11.138653	61.379747	135083.266441	593.435723	227.629145	2561.000000	223.017160	347.892835	7.009714	10.629036	10.550126	10.707946	82.877738	0.999765	750.577535	750.245159	751.077535	722.254841	11.134185	61.361339	127909.643266	588.683597	217.280801	2397.000000	211.173790	348.029265	6.896284	12.389918	11.622516	13.157320	69.668231	0.973535	1254.414953	478.652844	1254.914953	993.847156	11.122080	61.303257	192950.494502	628.359330	307.070310	3394.000000	318.553677	350.061361	6.941203	12.074668	12.076624	12.072712	315.310274	0.999105	1568.184755	755.089626	1568.684755	717.410374	11.113465	61.348010	173056.573845	618.333644	279.875720	2878.000000	285.709596	351.187342	7.414715	11.053854	10.309947	11.797761	77.481173	0.978129
16	TIC_99869022.01-S001-R018-C001-g_out_lin.fts	16.000000	0.000000	58884.465208	2458884.465208	2458884.464167	2458884.468896	2458884.469727	1.275360	51.576984	-19.977101	180.000000	11.104788	61.463478	8.091873	14.085536	1.200000	26.000000	44.000000	56.000000	0.692361	0.227371	0.176919	0.323705	0.416647	0.069866	0.064362	0.091924	0.082591	0.000800	0.000481	0.000424	0.000596	0.000717	0.000311	0.000305	0.000311	0.000305	865.867714	472.449383	417.011729	543.299090	581.403608	224.770861	210.755238	295.657922	271.043798	2102810.644414	1762.531237	1098.922095	731.643897	1099.422095	740.856103	11.125391	61.352578	1455903.702399	623.299241	1156.756836	1258.608254	22693.000000	2335.802143	348.386398	3176.000000	7.188194	11.260460	10.989894	11.531027	85.395892	0.997633	1252.754399	253.349549	1253.254399	1219.150451	11.122672	61.262885	389547.027572	739.967062	526.438334	6611.000000	624.975938	346.595018	6.856748	11.278138	11.006106	11.550171	85.726737	0.997623	1154.533627	259.267818	1155.033627	1213.232182	11.125135	61.265687	316101.846097	701.982119	450.299000	5555.000000	507.142999	346.018120	6.933365	11.160064	10.854157	11.465972	288.007413	0.995413	271.205840	1011.075765	271.705840	461.424235	11.145691	61.417555	514231.217346	798.185263	644.250453	8052.000000	825.014991	341.900000	7.372116	11.154575	10.449033	11.860116	88.595503	0.984086	1934.220432	573.438477	1934.720432	899.061523	11.104675	61.308821	618452.607903	846.544817	730.560976	8546.000000	992.224228	344.796389	7.829145	11.439975	11.005507	11.874443	77.317047	0.992954	565.867311	830.790139	566.367311	641.709861	11.138646	61.379800	137320.316313	599.861695	228.919962	2464.000000	220.312022	344.360000	7.083069	10.804260	9.878976	11.729544	274.559076	0.970344	749.872418	746.603463	750.372418	725.896537	11.134187	61.361347	127157.629183	593.813369	214.137363	2367.000000	204.007355	345.990217	7.046198	10.993238	10.684057	11.302419	67.920352	0.993862	1253.848617	475.143854	1254.348617	997.356146	11.122102	61.303203	193299.007184	633.399375	305.177136	3396.000000	310.122321	344.915874	6.994840	11.682095	11.350572	12.013618	292.530402	0.993554	1567.492757	751.502944	1567.992757	720.997056	11.113491	61.347867	173672.830965	624.001151	278.321331	2897.000000	278.634755	347.927897	7.563065	11.538747	10.763287	12.314207	273.500923	0.981826
17	TIC_99869022.01-S001-R019-C001-g_out_lin.fts	17.000000	0.000000	58884.467766	2458884.467766	2458884.466725	2458884.471454	2458884.472285	1.267802	52.011366	-20.417621	180.000000	11.104788	61.463478	8.983038	15.855673	1.200000	26.000000	44.000000	56.000000	0.690937	0.227857	0.176343	0.323445	0.418407	0.069341	0.064163	0.092793	0.082229	0.000841	0.000516	0.000456	0.000636	0.000765	0.000342	0.000338	0.000341	0.000335	821.592451	441.383251	386.965083	508.931098	546.859416	202.569779	189.698169	271.791727	245.387836	2108793.810144	1899.442935	1097.485776	728.497972	1097.985776	744.002028	11.125396	61.352659	1457043.758926	789.803848	1192.770945	1221.562082	17894.000000	1844.817246	348.284004	3127.000000	8.013887	12.778530	12.654420	12.902640	56.240147	0.997420	1251.264251	250.191597	1251.764251	1222.308403	11.122682	61.262862	391334.339386	794.700124	492.430198	5167.000000	495.482949	345.918662	7.783928	12.717869	12.437483	12.998255	67.422557	0.996094	1153.045631	256.104480	1153.545631	1216.395520	11.125145	61.265669	316125.418394	756.972643	417.618023	4164.000000	400.258139	346.010863	7.884666	12.790715	12.568743	13.012686	72.683304	0.998222	269.850636	1007.941042	270.350636	464.558958	11.145693	61.417737	515381.114211	850.754532	605.792969	6249.000000	652.543180	344.536486	8.220280	12.709675	12.140128	13.279222	77.537573	0.990272	1932.872736	570.387711	1933.372736	902.112289	11.104677	61.308843	622059.604509	896.035561	694.235398	6910.000000	787.612781	345.849768	8.661118	12.977094	12.729408	13.224781	60.022605	0.994191	564.365951	827.640273	564.865951	644.859727	11.138652	61.379930	136744.282312	663.671540	206.042107	1934.000000	173.137017	344.154263	8.121238	12.741170	12.590488	12.891851	56.587287	0.996389	748.369213	743.519318	748.869213	728.980682	11.134193	61.361462	127149.051332	660.457933	192.516503	1917.000000	160.988139	346.201476	7.929759	13.054839	12.670889	13.438789	291.955324	0.993345	1252.325282	471.941365	1252.825282	1000.558635	11.122111	61.303217	195681.405031	698.060438	280.321580	2673.000000	247.759498	347.343407	7.979151	13.803555	13.610148	13.996961	298.013971	0.997486	1566.077256	748.478153	1566.577256	724.021847	11.113494	61.347950	173403.901212	689.175258	251.610746	2340.000000	219.553123	348.717941	8.161441	12.677422	12.182477	13.172366	80.145750	0.993142
18	TIC_99869022.01-S001-R020-C001-g_out_lin.fts	18.000000	0.000000	58884.470972	2458884.470972	2458884.469931	2458884.474660	2458884.475491	1.258590	52.553811	-20.417621	180.000000	11.104788	61.463478	8.500675	14.811092	1.200000	26.000000	44.000000	56.000000	0.689280	0.226298	0.176458	0.325557	0.417423	0.068774	0.064996	0.092624	0.082183	0.000812	0.000492	0.000436	0.000613	0.000734	0.000322	0.000318	0.000323	0.000316	848.724245	459.589141	404.882653	531.484829	568.397932	213.749819	204.302905	286.820233	260.150308	2108425.813946	1815.393624	1090.405534	734.417248	1090.905534	738.082752	11.125402	61.352610	1453294.701042	689.166301	1168.881119	1243.321222	20790.000000	2108.772149	345.517554	3121.000000	7.403188	11.867314	11.682604	12.052023	77.735836	0.998830	1244.180524	256.195392	1244.680524	1216.304608	11.122686	61.262791	389083.298553	759.944724	511.988946	5794.000000	564.570987	343.149738	7.277977	12.074178	12.078711	12.069646	44.019255	0.999519	1146.045139	262.150152	1146.545139	1210.349848	11.125145	61.265595	316244.264029	723.720419	436.970211	4805.000000	458.879466	342.954319	7.230775	11.988780	12.001421	11.976140	28.554318	0.999985	262.829466	1014.044581	263.329466	458.455419	11.145686	61.417662	517829.484372	819.210508	632.107962	7334.000000	751.385382	341.935572	7.546398	12.320095	12.022735	12.617454	270.638849	0.997671	1926.001503	576.365751	1926.501503	896.134249	11.104691	61.308874	620918.921381	865.873594	717.101117	7765.000000	900.971102	342.866437	8.147105	12.396681	12.179060	12.614302	63.841172	0.996703	557.419634	833.721347	557.919634	638.778653	11.138646	61.379861	135674.055627	623.809671	217.492709	2324.000000	196.866933	341.895421	7.433287	12.336157	12.302987	12.369327	52.423577	0.999560	741.432736	749.510662	741.932736	722.989338	11.134190	61.361388	128675.789984	619.988177	207.545555	2189.000000	186.712249	342.641620	7.401965	12.368910	12.047202	12.690618	55.116767	0.977407	1245.302338	477.982446	1245.802338	994.517554	11.122115	61.303177	195290.787248	659.792748	295.988078	3096.000000	283.372514	344.371446	7.260308	12.963316	12.960781	12.965851	314.659228	0.998919	1559.090810	754.416725	1559.590810	718.083275	11.113506	61.347956	173277.467779	649.142298	266.932949	2566.000000	251.430558	346.049023	7.822037	11.492853	11.257876	11.727829	278.015592	0.998191
19	TIC_99869022.01-S001-R021-C001-g_out_lin.fts	19.000000	0.000000	58884.473530	2458884.473530	2458884.472488	2458884.477217	2458884.478049	1.251444	52.984830	-19.977101	180.000000	11.104788	61.463478	8.977441	16.081501	1.200000	26.000000	44.000000	56.000000	0.688392	0.225962	0.176256	0.324332	0.419496	0.068897	0.064915	0.092113	0.082066	0.000844	0.000518	0.000461	0.000641	0.000772	0.000347	0.000343	0.000344	0.000338	815.237532	435.910655	382.405833	506.074526	543.211673	198.757087	189.427771	267.411498	242.849072	2105704.598587	1913.402371	1088.433138	730.995500	1088.933138	741.504500	11.125382	61.352564	1449549.604206	812.461985	1194.401986	1213.619553	17561.000000	1784.144526	344.939403	3197.000000	7.918626	12.927883	12.674648	13.181118	71.186478	0.997555	1242.240990	252.787373	1242.740990	1219.712627	11.122667	61.262845	388110.227723	798.983741	485.754851	5043.000000	477.696476	342.033323	7.769904	13.184248	12.985208	13.383288	64.713602	0.997741	1144.096831	258.709007	1144.596831	1213.790993	11.125123	61.265637	315529.663475	765.025115	412.443536	4180.000000	388.362372	342.609718	7.847704	12.883099	12.522408	13.243790	67.867431	0.993896	260.951553	1010.594996	261.451553	461.905004	11.145634	61.417516	515691.949176	854.427941	603.552300	6304.000000	634.727481	335.906013	8.108905	13.210739	12.742545	13.678932	80.292093	0.994366	1923.764371	572.870361	1924.264371	899.629639	11.104707	61.308893	622287.949694	900.407419	691.118194	6822.000000	765.928697	341.419138	8.741407	13.342983	13.162708	13.523257	56.541847	0.995252	555.466244	830.170304	555.966244	642.329696	11.138606	61.379746	135725.106950	671.619822	202.086214	1987.000000	167.054101	340.080878	7.782849	12.924587	12.757115	13.092060	294.125244	0.998486	739.453538	746.054653	739.953538	726.445347	11.134157	61.361315	128359.701568	667.545038	192.286204	1886.000000	157.988563	342.168915	7.881406	12.966080	12.415176	13.516985	78.259236	0.991447	1243.402604	474.535933	1243.902604	997.964067	11.122097	61.303181	193963.447168	703.597696	275.673795	2697.000000	238.735412	343.483328	7.978946	13.618863	13.485939	13.751788	287.893944	0.999421	1557.061111	750.933877	1557.561111	721.566123	11.113505	61.347920	172807.280121	694.041302	248.987027	2310.000000	212.695835	344.463247	8.266552	12.612740	11.985440	13.240041	66.300390	0.978511
20	TIC_99869022.01-S001-R022-C001-g_out_lin.fts	20.000000	0.000000	58884.476042	2458884.476042	2458884.475000	2458884.479729	2458884.480560	1.244600	53.406385	-20.417621	180.000000	11.104788	61.463478	8.736336	14.750865	1.200000	26.000000	44.000000	56.000000	0.690905	0.223883	0.176078	0.326754	0.417662	0.070235	0.064776	0.091964	0.083076	0.000812	0.000486	0.000432	0.000612	0.000731	0.000320	0.000315	0.000319	0.000314	851.141170	460.250092	407.362549	534.080275	571.217349	219.311745	205.441289	288.169365	264.466290	2088059.447190	1787.419555	1086.651395	727.450900	1087.151395	745.049100	11.125415	61.352629	1442649.733267	683.572919	1160.956417	1242.639011	19855.000000	2110.454778	330.383416	3165.000000	7.626107	11.883981	11.731441	12.036522	61.941836	0.997880	1240.542427	249.220956	1241.042427	1223.279044	11.122677	61.263049	381965.514469	745.991897	512.023678	5470.000000	558.778009	322.407737	7.564368	11.919779	11.728109	12.111449	68.695544	0.998092	1142.351445	255.210346	1142.851445	1217.289654	11.125141	61.265842	312615.787770	711.018012	439.673514	4599.000000	457.326174	321.556669	7.524197	11.965121	11.594194	12.336049	77.930456	0.995393	259.034825	1007.098921	259.534825	465.401079	11.145728	61.417429	514249.340746	809.969859	634.899355	6930.000000	752.296246	324.905069	7.841510	12.146801	11.845587	12.448016	80.697782	0.997265	1922.019903	569.364303	1922.519903	903.135697	11.104684	61.309091	615170.064788	854.284351	720.099888	7606.000000	899.933347	323.072682	8.281847	12.490637	12.433426	12.547847	48.526848	0.994435	553.508683	826.805941	554.008683	645.694059	11.138679	61.379764	137030.261249	613.593184	223.324288	2214.000000	200.461805	326.055841	7.610162	12.529920	12.310139	12.749701	59.967080	0.995061	737.658208	742.686070	738.158208	729.813930	11.134212	61.361371	127028.478168	608.661338	208.701408	2053.000000	185.830179	326.530883	7.684597	11.285017	11.302249	11.267785	42.082743	0.999097	1241.589488	471.024001	1242.089488	1001.475999	11.122115	61.303337	192026.928007	645.775748	297.358531	2908.000000	280.916523	324.704893	7.485765	12.328503	12.296694	12.360312	298.889250	0.999906	1555.284811	747.368868	1555.784811	725.131132	11.113510	61.348024	173468.510014	638.889632	271.515613	2490.000000	253.767382	330.104265	8.031030	12.151894	11.529979	12.773808	62.037239	0.966798
21	TIC_99869022.01-S001-R023-C001-g_out_lin.fts	21.000000	0.000000	58884.479352	2458884.479352	2458884.478310	2458884.483039	2458884.483870	1.235838	53.959236	-20.417621	180.000000	11.104788	61.463478	9.895318	16.790795	1.200000	26.000000	44.000000	56.000000	0.690042	0.226561	0.175612	0.323926	0.418042	0.069267	0.065707	0.092648	0.082839	0.000862	0.000533	0.000472	0.000655	0.000788	0.000359	0.000356	0.000356	0.000350	800.530972	425.349489	371.937287	494.252059	530.687639	192.967515	184.515364	260.320790	236.509223	2115474.134231	1972.685642	1082.782210	734.690695	1083.282210	737.809305	11.125405	61.352510	1459766.196474	885.711691	1213.333921	1203.103426	14764.000000	1648.127954	343.037290	3168.000000	8.762053	14.096137	14.192287	13.999988	39.931855	0.993992	1236.574328	256.462323	1237.074328	1216.037677	11.122687	61.262666	390754.318564	824.047416	474.189119	4361.000000	441.175523	341.024360	8.591899	13.959794	14.140680	13.778908	24.966984	0.998380	1138.381428	262.417134	1138.881428	1210.082866	11.125149	61.265474	316007.261156	788.037378	401.005422	3487.000000	356.783437	340.573815	8.613199	13.654671	13.677292	13.632051	42.288406	0.998771	255.149731	1014.246177	255.649731	458.253823	11.145703	61.417585	517594.998929	876.958956	590.215762	5056.000000	584.383163	339.612504	9.230148	13.762521	13.543428	13.981614	83.893758	0.998939	1918.101870	576.506581	1918.601870	895.993419	11.104688	61.308724	623646.325290	921.618573	676.685935	5874.000000	704.118882	339.562211	9.301497	14.056911	14.083502	14.030320	43.271548	0.996063	549.735481	833.942215	550.235481	638.557785	11.138659	61.379772	137039.316814	698.576351	196.169419	1632.000000	154.722263	339.853577	9.166814	13.510012	13.373679	13.646345	287.391220	0.999396	733.752431	749.808968	734.252431	722.691032	11.134200	61.361304	130431.913479	696.408547	187.292235	1623.000000	147.262269	339.953033	8.829216	14.839160	14.683530	14.994790	72.440583	0.999343	1237.620815	478.275279	1238.120815	994.224721	11.122118	61.303066	195993.657503	730.372990	268.347352	2264.000000	221.283810	342.423939	8.729389	14.217939	14.252215	14.183663	326.497931	0.999848	1551.309034	754.530264	1551.809034	717.969736	11.113506	61.347817	175242.804396	722.710697	242.479882	1971.000000	197.855359	343.393308	9.097312	13.733887	13.984347	13.483428	23.065130	0.997232
