Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0720.TIC445859771.01.fits	2458892.928358000	0.213223000	0.000244000	1.190000000	1.002609724	0.001147328
fl.debias.st.0722.TIC445859771.01.fits	2458892.929770000	0.212842000	0.000244000	1.190000000	1.000818199	0.001147328
fl.debias.st.0724.TIC445859771.01.fits	2458892.931194000	0.212395000	0.000244000	1.190000000	0.998716331	0.001147328
fl.debias.st.0726.TIC445859771.01.fits	2458892.932606000	0.212649000	0.000244000	1.190000000	0.999910681	0.001147328
fl.debias.st.0728.TIC445859771.01.fits	2458892.934052000	0.212328000	0.000243000	1.180000000	0.998254156	0.001142458
fl.debias.st.0730.TIC445859771.01.fits	2458892.935464000	0.212429000	0.000243000	1.180000000	0.998729005	0.001142458
fl.debias.st.0732.TIC445859771.01.fits	2458892.936911000	0.212426000	0.000244000	1.180000000	0.998714900	0.001147159
fl.debias.st.0734.TIC445859771.01.fits	2458892.938323000	0.212426000	0.000243000	1.180000000	0.998714900	0.001142458
fl.debias.st.0736.TIC445859771.01.fits	2458892.939735000	0.212473000	0.000242000	1.170000000	0.998788683	0.001137589
fl.debias.st.0738.TIC445859771.01.fits	2458892.941171000	0.211813000	0.000242000	1.170000000	0.995686168	0.001137589
fl.debias.st.0740.TIC445859771.01.fits	2458892.942583000	0.212796000	0.000243000	1.170000000	1.000307035	0.001142289
fl.debias.st.0742.TIC445859771.01.fits	2458892.943995000	0.212590000	0.000243000	1.170000000	0.999338674	0.001142289
fl.debias.st.0744.TIC445859771.01.fits	2458892.945407000	0.212086000	0.000241000	1.160000000	0.996822606	0.001132721
fl.debias.st.0746.TIC445859771.01.fits	2458892.946830000	0.211651000	0.000242000	1.160000000	0.994778068	0.001137421
fl.debias.st.0748.TIC445859771.01.fits	2458892.948243000	0.212598000	0.000242000	1.160000000	0.999229050	0.001137421
fl.debias.st.0750.TIC445859771.01.fits	2458892.949655000	0.211949000	0.000241000	1.160000000	0.996178694	0.001132721
fl.debias.st.0752.TIC445859771.01.fits	2458892.951067000	0.212120000	0.000242000	1.160000000	0.996982409	0.001137421
fl.debias.st.0754.TIC445859771.01.fits	2458892.952490000	0.212077000	0.000242000	1.150000000	0.996633479	0.001137253
fl.debias.st.0756.TIC445859771.01.fits	2458892.953902000	0.212275000	0.000241000	1.150000000	0.997563959	0.001132554
fl.debias.st.0758.TIC445859771.01.fits	2458892.955314000	0.212004000	0.000241000	1.150000000	0.996290423	0.001132554
fl.debias.st.0760.TIC445859771.01.fits	2458892.956726000	0.212354000	0.000241000	1.150000000	0.997935211	0.001132554
fl.debias.st.0762.TIC445859771.01.fits	2458892.958139000	0.211707000	0.000241000	1.150000000	0.994894703	0.001132554
fl.debias.st.0764.TIC445859771.01.fits	2458892.959551000	0.211939000	0.000241000	1.150000000	0.995984963	0.001132554
fl.debias.st.0766.TIC445859771.01.fits	2458892.960974000	0.211965000	0.000240000	1.140000000	0.995960442	0.001127689
fl.debias.st.0768.TIC445859771.01.fits	2458892.962386000	0.212017000	0.000240000	1.140000000	0.996204774	0.001127689
fl.debias.st.0770.TIC445859771.01.fits	2458892.963810000	0.211813000	0.000241000	1.140000000	0.995246239	0.001132387
fl.debias.st.0772.TIC445859771.01.fits	2458892.965222000	0.211538000	0.000240000	1.140000000	0.993954096	0.001127689
fl.debias.st.0774.TIC445859771.01.fits	2458892.966634000	0.211879000	0.000241000	1.140000000	0.995556353	0.001132387
fl.debias.st.0776.TIC445859771.01.fits	2458892.968046000	0.212018000	0.000241000	1.140000000	0.996209473	0.001132387
fl.debias.st.0778.TIC445859771.01.fits	2458892.969458000	0.211976000	0.000241000	1.140000000	0.996012127	0.001132387
fl.debias.st.0780.TIC445859771.01.fits	2458892.970859000	0.211935000	0.000240000	1.140000000	0.995819481	0.001127689
fl.debias.st.0782.TIC445859771.01.fits	2458892.972271000	0.211611000	0.000240000	1.130000000	0.994150684	0.001127523
fl.debias.st.0784.TIC445859771.01.fits	2458892.973694000	0.211686000	0.000239000	1.130000000	0.994503035	0.001122824
fl.debias.st.0786.TIC445859771.01.fits	2458892.975095000	0.212556000	0.000240000	1.130000000	0.998590304	0.001127523
fl.debias.st.0788.TIC445859771.01.fits	2458892.976507000	0.212057000	0.000239000	1.130000000	0.996245997	0.001122824
fl.debias.st.0790.TIC445859771.01.fits	2458892.977954000	0.211942000	0.000240000	1.130000000	0.995705725	0.001127523
fl.debias.st.0792.TIC445859771.01.fits	2458892.979366000	0.212449000	0.000240000	1.130000000	0.998087617	0.001127523
fl.debias.st.0794.TIC445859771.01.fits	2458892.980778000	0.212316000	0.000240000	1.130000000	0.997462781	0.001127523
fl.debias.st.0796.TIC445859771.01.fits	2458892.982190000	0.212342000	0.000239000	1.130000000	0.997584930	0.001122824
fl.debias.st.0798.TIC445859771.01.fits	2458892.983602000	0.212155000	0.000239000	1.130000000	0.996706402	0.001122824
fl.debias.st.0800.TIC445859771.01.fits	2458892.985014000	0.212524000	0.000240000	1.130000000	0.998439967	0.001127523
fl.debias.st.0802.TIC445859771.01.fits	2458892.986415000	0.212341000	0.000239000	1.120000000	0.997433353	0.001122659
fl.debias.st.0804.TIC445859771.01.fits	2458892.987838000	0.212901000	0.000239000	1.120000000	1.000063851	0.001122659
fl.debias.st.0806.TIC445859771.01.fits	2458892.989239000	0.212164000	0.000239000	1.120000000	0.996601927	0.001122659
fl.debias.st.0808.TIC445859771.01.fits	2458892.990662000	0.212807000	0.000240000	1.120000000	0.999622303	0.001127356
fl.debias.st.0810.TIC445859771.01.fits	2458892.992074000	0.212326000	0.000239000	1.120000000	0.997362893	0.001122659
fl.debias.st.0812.TIC445859771.01.fits	2458892.993521000	0.212568000	0.000239000	1.120000000	0.998499644	0.001122659
fl.debias.st.0814.TIC445859771.01.fits	2458892.994968000	0.213128000	0.000239000	1.120000000	1.001130142	0.001122659
fl.debias.st.0816.TIC445859771.01.fits	2458892.996392000	0.212934000	0.000239000	1.120000000	1.000218863	0.001122659
fl.debias.st.0818.TIC445859771.01.fits	2458892.997804000	0.212768000	0.000239000	1.120000000	0.999439108	0.001122659
fl.debias.st.0820.TIC445859771.01.fits	2458892.999204000	0.213074000	0.000239000	1.120000000	1.000876487	0.001122659
fl.debias.st.0822.TIC445859771.01.fits	2458893.000628000	0.213501000	0.000239000	1.120000000	1.002882242	0.001122659
fl.debias.st.0824.TIC445859771.01.fits	2458893.002040000	0.213131000	0.000239000	1.120000000	1.001144234	0.001122659
fl.debias.st.0826.TIC445859771.01.fits	2458893.003464000	0.213607000	0.000240000	1.120000000	1.003380158	0.001127356
fl.debias.st.0828.TIC445859771.01.fits	2458893.004864000	0.213122000	0.000239000	1.120000000	1.001101959	0.001122659
fl.debias.st.0830.TIC445859771.01.fits	2458893.006288000	0.213220000	0.000239000	1.120000000	1.001562296	0.001122659
fl.debias.st.0832.TIC445859771.01.fits	2458893.007700000	0.213774000	0.000240000	1.120000000	1.004164610	0.001127356
fl.debias.st.0834.TIC445859771.01.fits	2458893.009112000	0.213252000	0.000239000	1.120000000	1.001712610	0.001122659
fl.debias.st.0836.TIC445859771.01.fits	2458893.010535000	0.213208000	0.000239000	1.120000000	1.001505928	0.001122659
fl.debias.st.0838.TIC445859771.01.fits	2458893.011948000	0.213359000	0.000239000	1.120000000	1.002215223	0.001122659
fl.debias.st.0840.TIC445859771.01.fits	2458893.013348000	0.213409000	0.000239000	1.120000000	1.002450089	0.001122659
fl.debias.st.0842.TIC445859771.01.fits	2458893.014795000	0.213620000	0.000239000	1.120000000	1.003441223	0.001122659
fl.debias.st.0844.TIC445859771.01.fits	2458893.016207000	0.212833000	0.000239000	1.120000000	0.999744433	0.001122659
fl.debias.st.0846.TIC445859771.01.fits	2458893.017654000	0.212717000	0.000239000	1.120000000	0.999199544	0.001122659
fl.debias.st.0848.TIC445859771.01.fits	2458893.019077000	0.213663000	0.000240000	1.120000000	1.003643208	0.001127356
fl.debias.st.0850.TIC445859771.01.fits	2458893.020489000	0.213243000	0.000240000	1.120000000	1.001670334	0.001127356
fl.debias.st.0852.TIC445859771.01.fits	2458893.021901000	0.213322000	0.000240000	1.120000000	1.002041422	0.001127356
fl.debias.st.0854.TIC445859771.01.fits	2458893.023325000	0.213401000	0.000241000	1.120000000	1.002412510	0.001132054
fl.debias.st.0856.TIC445859771.01.fits	2458893.024726000	0.213134000	0.000240000	1.120000000	1.001158326	0.001127356
fl.debias.st.0858.TIC445859771.01.fits	2458893.026172000	0.213509000	0.000240000	1.120000000	1.002919821	0.001127356
fl.debias.st.0860.TIC445859771.01.fits	2458893.027596000	0.213046000	0.000240000	1.120000000	1.000744962	0.001127356
fl.debias.st.0862.TIC445859771.01.fits	2458893.029008000	0.212857000	0.000239000	1.120000000	0.999857169	0.001122659
fl.debias.st.0864.TIC445859771.01.fits	2458893.030409000	0.213680000	0.000240000	1.120000000	1.003723062	0.001127356
fl.debias.st.0866.TIC445859771.01.fits	2458893.031855000	0.213448000	0.000241000	1.130000000	1.002780929	0.001132221
fl.debias.st.0868.TIC445859771.01.fits	2458893.033279000	0.213340000	0.000239000	1.130000000	1.002273544	0.001122824
fl.debias.st.0870.TIC445859771.01.fits	2458893.034679000	0.213054000	0.000240000	1.130000000	1.000929913	0.001127523
fl.debias.st.0872.TIC445859771.01.fits	2458893.036103000	0.213005000	0.000240000	1.130000000	1.000699710	0.001127523
fl.debias.st.0874.TIC445859771.01.fits	2458893.037515000	0.213194000	0.000240000	1.130000000	1.001587634	0.001127523
fl.debias.st.0876.TIC445859771.01.fits	2458893.038939000	0.213618000	0.000241000	1.130000000	1.003579591	0.001132221
fl.debias.st.0878.TIC445859771.01.fits	2458893.040351000	0.213536000	0.000241000	1.130000000	1.003194354	0.001132221
fl.debias.st.0880.TIC445859771.01.fits	2458893.041763000	0.213404000	0.000240000	1.130000000	1.002574217	0.001127523
fl.debias.st.0882.TIC445859771.01.fits	2458893.043198000	0.213167000	0.000240000	1.130000000	1.001460788	0.001127523
fl.debias.st.0884.TIC445859771.01.fits	2458893.044622000	0.213200000	0.000241000	1.130000000	1.001615822	0.001132221
fl.debias.st.0886.TIC445859771.01.fits	2458893.046045000	0.213296000	0.000241000	1.140000000	1.002214414	0.001132387
fl.debias.st.0888.TIC445859771.01.fits	2458893.047457000	0.213643000	0.000243000	1.140000000	1.003844864	0.001141785
fl.debias.st.0890.TIC445859771.01.fits	2458893.048870000	0.213156000	0.000244000	1.140000000	1.001556596	0.001146483
fl.debias.st.0892.TIC445859771.01.fits	2458893.050282000	0.213273000	0.000247000	1.140000000	1.002106344	0.001160579
fl.debias.st.0894.TIC445859771.01.fits	2458893.051682000	0.213314000	0.000250000	1.140000000	1.002298991	0.001174676
fl.debias.st.0896.TIC445859771.01.fits	2458893.053083000	0.213226000	0.000254000	1.140000000	1.001885505	0.001193470
fl.debias.st.0898.TIC445859771.01.fits	2458893.054495000	0.213264000	0.000260000	1.140000000	1.002064056	0.001221663
