Label	BJD_TDB	rel_flux_T1	rel_flux_err_T1	AIR	JD_UTC	rel_flux_T1_dn	rel_flux_err_T1_dn
fl.debias.st.0241.TIC99869022.01.fits	2459258.896751000	0.684134000	0.001078000	1.150000000	0.892286000	0.998660678	0.001573604
fl.debias.st.0243.TIC99869022.01.fits	2459258.897989000	0.685945000	0.001071000	1.160000000	0.893524000	1.001351622	0.001563460
fl.debias.st.0245.TIC99869022.01.fits	2459258.899204000	0.685980000	0.001062000	1.160000000	0.894740000	1.001402715	0.001550322
fl.debias.st.0247.TIC99869022.01.fits	2459258.900408000	0.684249000	0.001068000	1.160000000	0.895943000	0.998875778	0.001559081
fl.debias.st.0249.TIC99869022.01.fits	2459258.901623000	0.684874000	0.001063000	1.160000000	0.897159000	0.999788162	0.001551782
fl.debias.st.0251.TIC99869022.01.fits	2459258.902804000	0.686822000	0.001066000	1.160000000	0.898339000	1.002631878	0.001556161
fl.debias.st.0253.TIC99869022.01.fits	2459258.904019000	0.686286000	0.001061000	1.160000000	0.899554000	1.001849418	0.001548862
fl.debias.st.0255.TIC99869022.01.fits	2459258.905234000	0.682081000	0.001062000	1.160000000	0.900770000	0.995710903	0.001550322
fl.debias.st.0257.TIC99869022.01.fits	2459258.906426000	0.682659000	0.001061000	1.160000000	0.901962000	0.996554675	0.001548862
fl.debias.st.0259.TIC99869022.01.fits	2459258.907642000	0.685866000	0.001060000	1.160000000	0.903177000	1.001236297	0.001547402
fl.debias.st.0261.TIC99869022.01.fits	2459258.908869000	0.685322000	0.001058000	1.160000000	0.904404000	1.000442158	0.001544482
fl.debias.st.0263.TIC99869022.01.fits	2459258.910049000	0.686315000	0.001060000	1.160000000	0.905584000	1.001891753	0.001547402
fl.debias.st.0265.TIC99869022.01.fits	2459258.911264000	0.683696000	0.001058000	1.160000000	0.906800000	0.998068502	0.001544482
fl.debias.st.0267.TIC99869022.01.fits	2459258.912480000	0.684133000	0.001061000	1.160000000	0.908015000	0.998706440	0.001548862
fl.debias.st.0269.TIC99869022.01.fits	2459258.913683000	0.685445000	0.001066000	1.160000000	0.909219000	1.000621715	0.001556161
fl.debias.st.0271.TIC99869022.01.fits	2459258.914922000	0.684758000	0.001059000	1.170000000	0.910457000	0.999666093	0.001546015
