 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	rel_flux_T1	rel_flux_C2	rel_flux_C3	rel_flux_err_T1	rel_flux_err_C2	rel_flux_err_C3	rel_flux_SNR_T1	rel_flux_SNR_C2	rel_flux_SNR_C3	tot_C_cnts	tot_C_err	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1	Variance_T1	X(IJ)_C2	Y(IJ)_C2	X(FITS)_C2	Y(FITS)_C2	RA_C2	DEC_C2	Source-Sky_C2	Source_Error_C2	Source_SNR_C2	Peak_C2	Mean_C2	Sky/Pixel_C2	FWHM_C2	Width_C2	X-Width_C2	Y-Width_C2	Angle_C2	Roundness_C2	Variance_C2	X(IJ)_C3	Y(IJ)_C3	X(FITS)_C3	Y(FITS)_C3	RA_C3	DEC_C3	Source-Sky_C3	Source_Error_C3	Source_SNR_C3	Peak_C3	Mean_C3	Sky/Pixel_C3	FWHM_C3	Width_C3	X-Width_C3	Y-Width_C3	Angle_C3	Roundness_C3	Variance_C3	rel_flux_T1_n	rel_flux_err_T1_n
11	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003414_12CALCAL_out.fit	11.000000	0.000000	58897.524120	2458897.524120	2458897.523773	2458897.526439	2458897.527252	1.213418	55.446446	-39.390000	60.000000	14.274703	58.390444	9.868801	15.000000	30.000000	44.000000	0.271011	5.034568	0.198627	0.000385	0.009720	0.000383	703.803844	517.962850	517.962850	1946342.718255	1174.857662	960.640861	687.545123	961.140861	412.954877	0.000000	0.000000	527479.453708	706.858347	678.473710	777.450100	9883.000000	746.230777	173.437034	2832.000000	6.527043	9.750110	10.143018	9.357202	0.701951	0.993521	1923120.343347	99.255164	887.637269	99.755164	212.862731	0.000000	0.000000	1623810.481780	1016.518448	1597.423525	27144.000000	2297.221910	164.440684	7.010467	9.946098	10.359314	9.532882	353.777308	0.992785	16960669.753413	329.914947	651.500935	330.414947	448.999065	0.000000	0.000000	322532.236474	589.050738	547.545764	5963.000000	456.289775	162.013418	6.375661	9.937927	10.407084	9.468769	357.142802	0.991036	693611.037666	0.994160	0.001412
12	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003525_13CALCAL_out.fit	12.000000	0.000000	58897.524942	2458897.524942	2458897.524595	2458897.527260	2458897.528074	1.211267	55.595022	-39.450000	60.000000	14.274703	58.390444	9.582014	15.000000	30.000000	44.000000	0.272783	5.040972	0.198374	0.000387	0.009782	0.000385	704.546818	515.350377	515.350377	1940251.982064	1174.377904	960.167882	688.160894	960.667882	412.339106	0.000000	0.000000	529268.584746	706.858347	679.488440	778.922133	11150.000000	748.761880	173.527788	2770.000000	6.183939	9.227752	9.535626	8.919878	3.868948	0.995475	2269212.093389	98.777385	888.019020	99.277385	212.480980	0.000000	0.000000	1619069.889868	1015.545465	1594.285973	31640.000000	2290.515344	165.192913	6.537199	9.401260	9.797604	9.004916	1.597242	0.992894	19950221.376301	329.294609	652.023221	329.794609	448.476779	0.000000	0.000000	321182.092197	589.771878	544.586990	6707.000000	454.379712	163.658845	6.156102	9.256483	9.677707	8.835258	4.536502	0.991541	826937.056568	1.000660	0.001420
13	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003635_14CALCAL_out.fit	13.000000	0.000000	58897.525752	2458897.525752	2458897.525405	2458897.528070	2458897.528884	1.209165	55.741244	-39.520000	60.000000	14.274703	58.390444	9.545854	15.000000	30.000000	44.000000	0.271421	5.076653	0.196980	0.000389	0.009969	0.000387	696.957071	509.244252	509.244252	1921559.166871	1171.152838	960.765945	688.562081	961.265945	411.937919	0.000000	0.000000	521552.406558	706.858347	677.458080	769.866685	10916.000000	737.845721	176.614505	2848.000000	6.170949	9.238816	9.591317	8.886316	2.849062	0.994136	2178993.356325	99.564540	888.588545	100.064540	211.911455	0.000000	0.000000	1605339.193340	1012.823359	1585.013989	30077.000000	2271.090382	169.519517	6.630539	9.505040	9.893928	9.116152	357.621100	0.993280	18771377.259777	330.107484	652.580852	330.607484	447.919148	0.000000	0.000000	316219.973531	588.037254	537.755000	6495.000000	447.359750	167.027037	6.254060	9.374519	9.726805	9.022233	8.837211	0.993795	774236.975706	0.995664	0.001427
14	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003745_15CALCAL_out.fit	14.000000	0.000000	58897.526562	2458897.526562	2458897.526215	2458897.528881	2458897.529695	1.207083	55.887202	-39.580000	60.000000	14.274703	58.390444	9.131731	15.000000	30.000000	44.000000	0.271411	5.062456	0.197533	0.000407	0.010405	0.000406	666.040480	486.552558	486.552558	1810168.758762	1147.082823	959.801299	688.930534	960.301299	411.569466	0.000000	0.000000	491300.436988	706.858347	668.723212	734.684288	11515.000000	695.047939	183.618142	2823.000000	5.844979	8.790801	9.103286	8.478316	357.849641	0.994930	2232947.053970	98.438243	888.894724	98.938243	211.605276	0.000000	0.000000	1511582.041029	988.601378	1529.010655	32364.000000	2138.451144	171.715901	6.233177	9.046185	9.409968	8.682403	351.594410	0.992964	19387018.692803	329.010521	652.790687	329.510521	447.709313	0.000000	0.000000	298586.717734	581.778581	513.230854	7247.000000	422.413796	170.559688	5.771183	8.832178	9.255237	8.409120	2.169349	0.990812	824632.421169	0.995627	0.001493
15	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_003855_16CALCAL_out.fit	15.000000	0.000000	58897.527373	2458897.527373	2458897.527025	2458897.529691	2458897.530505	1.205019	56.032890	-39.620000	60.000000	14.274703	58.390444	8.546443	15.000000	30.000000	44.000000	0.271455	4.999789	0.200008	0.000432	0.010900	0.000436	627.794145	458.691716	458.691716	1671860.419415	1119.470345	958.879584	688.617815	959.379584	411.882185	0.000000	0.000000	453835.504725	706.858347	655.930437	691.895785	12864.000000	642.045902	190.573338	2803.000000	5.350200	8.273004	8.660219	7.885788	354.238539	0.990913	2313464.130565	97.591832	888.421558	98.091832	212.078442	0.000000	0.000000	1393207.231153	959.690750	1451.725184	34934.000000	1970.985045	182.946647	5.872802	8.579002	9.089128	8.068876	354.824098	0.985488	19536785.063998	328.225943	652.492920	328.725943	448.007080	0.000000	0.000000	278653.188262	576.374459	483.458599	7919.000000	394.213621	179.089190	5.284596	8.304022	8.722868	7.885177	356.655072	0.989736	858825.097208	0.995789	0.001585
16	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_004005_17CALCAL_out.fit	16.000000	0.000000	58897.528183	2458897.528183	2458897.527836	2458897.530501	2458897.531315	1.202973	56.178301	-39.690000	60.000000	14.274703	58.390444	8.589653	15.000000	30.000000	44.000000	0.270467	5.005788	0.199769	0.000402	0.010086	0.000402	672.744585	496.326138	496.326138	1847670.854959	1157.726610	959.031302	689.082005	959.531302	411.417995	0.000000	0.000000	499733.111020	706.858347	673.605577	741.877930	12653.000000	706.977732	192.084031	2828.000000	5.598427	8.575032	8.889344	8.260720	355.744999	0.994520	2553323.897466	97.701159	888.964836	98.201159	211.535164	0.000000	0.000000	1540022.509753	997.926673	1543.222114	36762.000000	2178.686177	177.295867	5.959211	8.812146	9.326454	8.297837	356.354897	0.986246	22314797.759998	328.258558	652.891042	328.758558	447.608958	0.000000	0.000000	307648.345207	586.918442	524.175632	7790.000000	435.233377	173.359264	5.664877	8.784982	9.141963	8.428001	6.079317	0.993111	929613.688565	0.992164	0.001475
17	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_004115_18CALCAL_out.fit	17.000000	0.000000	58897.528993	2458897.528993	2458897.528646	2458897.531311	2458897.532125	1.200947	56.323430	-39.750000	60.000000	14.274703	58.390444	8.846587	15.000000	30.000000	44.000000	0.274070	5.038587	0.198468	0.000463	0.011856	0.000467	592.487072	424.977052	424.977052	1535561.177931	1090.883789	958.785371	689.229896	959.285371	411.270104	0.000000	0.000000	420851.981956	706.858347	644.327402	653.164805	9863.000000	595.383762	196.674617	2723.000000	5.830783	8.963005	9.356917	8.569094	350.868576	0.991466	1603590.433932	97.477893	889.219484	97.977893	211.280516	0.000000	0.000000	1281269.694626	930.646013	1376.753005	26549.000000	1812.625825	190.901562	6.251728	9.072829	9.542772	8.602887	350.030660	0.987921	13931288.913300	328.101327	653.144423	328.601327	447.355577	0.000000	0.000000	254291.483305	569.144480	446.796011	5911.000000	359.748858	186.434447	5.867597	9.085257	9.602485	8.568029	356.375095	0.986911	573794.098577	1.005381	0.001698
18	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_004225_19CALCAL_out.fit	18.000000	0.000000	58897.529803	2458897.529803	2458897.529456	2458897.532121	2458897.532935	1.198938	56.468271	-39.760000	60.000000	14.274703	58.390444	9.264454	15.000000	30.000000	44.000000	0.272332	5.058509	0.197687	0.000400	0.010210	0.000399	680.561361	495.431224	495.431224	1857784.398780	1159.702129	957.879731	689.589754	958.379731	410.910246	0.000000	0.000000	505934.452004	706.858347	672.985779	751.775844	10284.000000	715.750835	182.603515	2781.000000	6.213418	9.460424	9.880616	9.040232	357.737083	0.992091	1958871.238718	96.524325	889.642479	97.024325	210.857521	0.000000	0.000000	1551143.863770	1000.471576	1550.412727	29238.000000	2194.419674	176.176513	6.576264	9.524180	9.987002	9.061358	357.190643	0.990508	17586386.396269	327.121070	653.551781	327.621070	446.948219	0.000000	0.000000	306640.535010	586.485852	522.843874	6267.000000	433.807617	172.085940	6.157092	9.393450	9.914605	8.872296	0.578593	0.987758	723533.614224	0.999006	0.001467
19	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_004335_20CALCAL_out.fit	19.000000	0.000000	58897.530613	2458897.530613	2458897.530266	2458897.532932	2458897.533746	1.196948	56.612817	-39.820000	60.000000	14.274703	58.390444	9.263772	15.000000	30.000000	44.000000	0.270320	5.084119	0.196691	0.000411	0.010579	0.000409	658.491767	480.605821	480.605821	1784245.280485	1141.026102	957.477289	690.347694	957.977289	410.152306	0.000000	0.000000	482317.713532	706.858347	664.348005	726.001598	10526.000000	682.339984	181.498906	2862.000000	6.123218	9.195423	9.417564	8.973283	354.914963	0.997593	1933320.253412	96.536030	890.180723	97.036030	210.319277	0.000000	0.000000	1490982.541470	983.369310	1516.197959	29330.000000	2109.308814	171.496405	6.473474	9.300071	9.561953	9.038188	1.965288	0.996818	17587290.745370	326.915178	654.296669	327.415178	446.203331	0.000000	0.000000	293262.739016	578.727366	506.737293	6521.000000	414.881907	170.033543	5.930170	9.231498	9.541744	8.921253	8.178612	0.995104	716875.235231	0.991625	0.001508
20	OACt_COLD_O_Ch4_Gn0_Ft2_18022020_004446_21CALCAL_out.fit	20.000000	0.000000	58897.531435	2458897.531435	2458897.531088	2458897.533753	2458897.534567	1.194949	56.759120	-39.870000	60.000000	14.274703	58.390444	8.670166	15.000000	30.000000	44.000000	0.274618	4.991915	0.200324	0.000387	0.009593	0.000385	710.163213	520.373795	520.373795	1947795.457250	1176.044651	958.148989	690.527576	958.648989	409.972424	0.000000	0.000000	534898.908473	706.858347	680.451220	786.094422	14600.000000	756.727159	170.875576	2803.000000	5.366891	8.437899	8.710714	8.165084	357.713186	0.995801	3075205.957153	96.778408	890.472780	97.278408	210.027220	0.000000	0.000000	1622724.872808	1017.032899	1595.548064	39176.000000	2295.686087	165.990142	5.912996	8.784821	9.200019	8.369624	359.720655	0.991104	24851033.172982	327.316824	654.362024	327.816824	446.137976	0.000000	0.000000	325070.584443	590.529511	550.473055	8750.000000	459.880803	162.103817	5.466840	8.496854	8.829790	8.163919	13.867480	0.992185	1108681.576908	1.007392	0.001420
