pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-1117 b,1,Published Confirmed,4.79028459,0.00001860,-0.00001860,0,,,,,,,,,1.110,0.170,-0.080,0,0.099,0.015,-0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,0.13,-0.06,0,0.95,0.04,-0.05,0,0.030,0.136,-0.152,0,4.270,4.960,-2.660,0,12.8670000,0.0250000,-0.0250000
Kepler-1118 b,1,Published Confirmed,38.67150750,0.00022980,-0.00022980,0,,,,,,,,,2.740,0.600,-0.430,0,0.244,0.054,-0.038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,0.17,-0.11,0,0.96,0.11,-0.08,0,0.000,0.138,-0.168,0,4.070,4.400,-2.330,0,13.5050000,0.0250000,-0.0250000
Kepler-1119 b,1,Published Confirmed,8.32651530,0.00004777,-0.00004777,0,,,,,,,,,1.920,0.630,-0.300,0,0.171,0.056,-0.027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.38,-0.18,0,1.11,0.14,-0.11,0,0.030,0.134,-0.167,0,3.090,2.010,-1.400,0,13.8640000,0.0260000,-0.0260000
Kepler-112 b,1,Published Confirmed,8.40887800,0.00001000,-0.00001000,0,0.076000,,,0,,,,,2.360,0.570,-0.570,0,0.211,0.051,-0.051,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0400,0.1700,-0.1700,0,0.84,0.20,-0.20,0,,,,,,,,,,,,,12.5830000,0.0220000,-0.0220000
Kepler-112 c,1,Published Confirmed,28.57426300,0.00006000,-0.00006000,0,0.172000,,,0,,,,,2.400,0.580,-0.580,0,0.214,0.052,-0.052,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0800,0.1800,-0.1800,0,0.84,0.20,-0.20,0,,,,,,,,,,,,,12.5830000,0.0220000,-0.0220000
Kepler-1120 b,1,Published Confirmed,2.94902905,0.00000747,-0.00000747,0,,,,,,,,,1.380,0.090,-0.070,0,0.123,0.008,-0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,0.03,-0.04,0,0.78,0.04,-0.04,0,-0.040,0.150,-0.163,0,4.680,6.110,-2.760,0,13.7900000,0.0270000,-0.0270000
Kepler-1121 b,1,Published Confirmed,13.15141081,0.00005864,-0.00005864,0,,,,,,,,,1.910,0.480,-0.460,0,0.170,0.043,-0.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59,0.40,-0.29,0,1.29,0.13,-0.09,0,0.120,0.092,-0.086,0,3.020,0.500,-0.686,0,11.0760000,0.0220000,-0.0220000
Kepler-1122 b,1,Published Confirmed,42.19173570,0.00029960,-0.00029960,0,,,,,,,,,2.040,0.270,-0.140,0,0.182,0.024,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.11,-0.06,0,0.92,0.04,-0.05,0,-0.030,0.144,-0.178,0,4.680,5.490,-2.930,0,13.8720000,0.0260000,-0.0260000
Kepler-1123 b,1,Published Confirmed,4.33946454,0.00001178,-0.00001178,0,,,,,,,,,1.670,0.250,-0.110,0,0.149,0.022,-0.010,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,0.13,-0.06,0,0.93,0.04,-0.04,0,0.050,0.144,-0.153,0,5.130,5.800,-3.320,0,13.5280000,0.0270000,-0.0270000
Kepler-1124 b,1,Published Confirmed,2.85234897,0.00000303,-0.00000303,0,,,,,,,,,1.280,0.120,-0.070,0,0.114,0.011,-0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0.02,-0.02,0,0.35,0.02,-0.02,0,-0.590,0.074,-0.084,0,3.390,5.260,-1.950,0,13.6710000,0.0250000,-0.0250000
