pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
HAT-P-2 b,1,Published Confirmed,5.63351580,0.00000360,-0.00000360,0,0.068140,0.000510,-0.000510,0,2739.69460,54.03110,-54.03110,0,,,,,,,,,,,,,8.62000,0.17000,-0.17000,0,Msini,,,,,0.517200,0.001900,-0.001900,0,,,,,,,,,,,,,1.39,0.09,-0.09,0,1.33,0.03,-0.03,0,0.180,,,0,1.440,0.470,-0.470,0,7.7960000,0.0270000,-0.0270000
HAT-P-20 b,1,Published Confirmed,2.87531700,0.00000400,-0.00000400,0,0.036100,0.000500,-0.000500,0,2302.89900,59.43200,-59.43200,0,9.718,0.370,-0.370,0,0.867,0.033,-0.033,0,2302.89900,59.43200,-59.43200,0,7.24600,0.18700,-0.18700,0,Mass,13.78000,1.50000,-1.50000,0,0.015000,0.005000,-0.005000,0,,,,,970,23,-23,0,0.6310,0.0250,-0.0280,0,0.69,0.02,-0.02,0,0.76,0.03,-0.03,0,0.350,0.080,-0.080,0,6.700,5.700,-3.800,0,9.2760000,0.0220000,-0.0220000
HAT-P-21 b,1,Published Confirmed,4.12448000,0.00000700,-0.00000700,0,,,,,1547.83210,498.99310,-498.99310,0,12.442,1.793,-1.793,0,1.110,0.160,-0.160,0,1547.83210,498.99310,-498.99310,0,4.87000,1.57000,-1.57000,0,Mass,,,,,0.230000,0.020000,-0.020000,0,,,,,,,,,,,,,1.21,0.17,-0.17,0,1.24,0.60,-0.60,0,0.010,,,0,,,,,10.5030000,0.0220000,-0.0220000
HAT-P-22 b,1,Published Confirmed,3.21222000,0.00000900,-0.00000900,0,,,,,785.04010,101.70560,-101.70560,0,12.890,2.130,-2.130,0,1.150,0.190,-0.190,0,785.04010,101.70560,-101.70560,0,2.47000,0.32000,-0.32000,0,Mass,,,,,0.020000,0.010000,-0.010000,0,,,,,,,,,,,,,1.11,0.05,-0.05,0,1.13,0.22,-0.22,0,0.240,,,0,,,,,8.2930000,0.0230000,-0.0230000
HAT-P-23 b,1,Published Confirmed,1.21288000,0.00000200,-0.00000200,0,,,,,425.89220,187.51970,-187.51970,0,12.218,2.578,-2.578,0,1.090,0.230,-0.230,0,425.89220,187.51970,-187.51970,0,1.34000,0.59000,-0.59000,0,Mass,,,,,0.110000,0.040000,-0.040000,0,,,,,,,,,,,,,0.96,0.20,-0.20,0,0.58,0.38,-0.38,0,0.150,,,0,,,,,11.1030000,0.0220000,-0.0220000
HAT-P-24 b,1,Published Confirmed,3.35524000,0.00000700,-0.00000700,0,,,,,238.37250,79.45750,-79.45750,0,14.572,2.354,-2.354,0,1.300,0.210,-0.210,0,238.37250,79.45750,-79.45750,0,0.75000,0.25000,-0.25000,0,Mass,,,,,0.070000,0.020000,-0.020000,0,,,,,,,,,,,,,1.38,0.22,-0.22,0,1.37,0.69,-0.69,0,-0.160,,,0,,,,,10.7970000,0.0220000,-0.0220000
HAT-P-25 b,1,Published Confirmed,3.65281514,0.00000076,-0.00000075,0,0.046600,0.000810,-0.000800,0,180.84527,7.31009,-6.99226,0,12.722,0.538,-0.538,0,1.135,0.048,-0.048,0,180.84527,7.31009,-6.99226,0,0.56900,0.02300,-0.02200,0,Mass,0.48300,0.05900,-0.05100,0,0.023000,0.022000,-0.014000,0,325.00,29.00,-26.00,0,1182,25,-25,0,0.3470,0.0610,-0.0820,0,0.92,0.03,-0.03,0,1.01,0.05,-0.05,0,0.294,0.080,-0.080,0,,,,,11.3190000,0.0180000,-0.0180000
HAT-P-26 b,1,Published Confirmed,4.23452000,0.00001500,-0.00001500,0,,,,,22.24810,6.35660,-6.35660,0,7.062,0.448,-0.448,0,0.630,0.040,-0.040,0,22.24810,6.35660,-6.35660,0,0.07000,0.02000,-0.02000,0,Mass,,,,,0.120000,0.060000,-0.060000,0,,,,,,,,,,,,,0.87,0.05,-0.05,0,1.12,0.36,-0.36,0,-0.040,,,0,,,,,10.0800000,0.0220000,-0.0220000
HAT-P-27 b,1,Published Confirmed,3.03957700,0.00000500,-0.00000600,0,0.040000,0.000800,-0.000800,0,197.05000,9.53000,-9.53000,0,11.430,0.780,-0.670,0,1.020,0.070,-0.060,0,197.05000,9.53000,-9.53000,0,0.62000,0.03000,-0.03000,0,Mass,,,,,0.000000,,,0,,,,,,,,,0.8700,0.0100,-0.0100,0,0.86,0.05,-0.04,0,0.92,0.12,-0.10,0,0.300,0.030,-0.030,0,,,,,10.6260000,0.0260000,-0.0260000
HAT-P-28 b,1,Published Confirmed,3.25721500,0.00000700,-0.00000700,0,0.043400,0.000700,-0.000700,0,198.95300,11.75900,-11.75900,0,13.585,1.267,-0.919,0,1.212,0.113,-0.082,0,198.95300,11.75900,-11.75900,0,0.62600,0.03700,-0.03700,0,Mass,0.44000,0.09000,-0.09000,0,0.051000,0.033000,-0.033000,0,,,,,1384,52,-52,0,0.2990,0.1140,-0.1230,0,1.10,0.09,-0.07,0,1.02,0.05,-0.05,0,0.120,0.080,-0.080,0,6.100,2.600,-1.900,0,11.5610000,0.0200000,-0.0200000
HAT-P-29 b,1,Published Confirmed,5.72319000,0.00004900,-0.00004900,0,,,,,279.69040,79.45750,-79.45750,0,13.115,1.457,-1.457,0,1.170,0.130,-0.130,0,279.69040,79.45750,-79.45750,0,0.88000,0.25000,-0.25000,0,Mass,,,,,0.090000,0.050000,-0.050000,0,,,,,,,,,,,,,1.30,0.14,-0.14,0,1.45,0.60,-0.60,0,0.210,,,0,,,,,10.6480000,0.0230000,-0.0230000
HAT-P-3 b,1,Published Confirmed,2.89970000,0.00005400,-0.00005400,0,,,,,206.58950,34.96130,-34.96130,0,10.536,0.785,-0.785,0,0.940,0.070,-0.070,0,206.58950,34.96130,-34.96130,0,0.65000,0.11000,-0.11000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,0.87,0.06,-0.06,0,1.06,0.28,-0.28,0,0.270,,,0,,,,,9.9360000,0.0220000,-0.0220000
HAT-P-30 b,1,Published Confirmed,2.81060000,0.00000500,-0.00000500,0,,,,,263.79890,57.20940,-57.20940,0,16.141,1.681,-1.681,0,1.440,0.150,-0.150,0,263.79890,57.20940,-57.20940,0,0.83000,0.18000,-0.18000,0,Mass,,,,,0.040000,0.020000,-0.020000,0,,,,,,,,,,,,,1.31,0.13,-0.13,0,1.55,0.51,-0.51,0,0.130,,,0,,,,,9.4420000,0.0260000,-0.0260000
HAT-P-31 b,1,Published Confirmed,5.00542000,0.00009100,-0.00009100,0,,,,,721.47410,266.97720,-266.97720,0,12.218,1.681,-1.681,0,1.090,0.150,-0.150,0,721.47410,266.97720,-266.97720,0,2.27000,0.84000,-0.84000,0,Mass,,,,,0.250000,0.000000,0.000000,0,,,,,,,,,,,,,1.39,0.11,-0.11,0,1.31,0.73,-0.73,0,0.150,,,0,,,,,10.4230000,0.0230000,-0.0230000
HAT-P-32 b,1,Published Confirmed,2.15000820,0.00000013,-0.00000013,0,0.033970,0.000510,-0.000500,0,216.12440,34.96130,-31.78300,0,22.194,0.504,-0.504,0,1.980,0.045,-0.045,0,216.12440,34.96130,-31.78300,0,0.68000,0.11000,-0.10000,0,Mass,0.10800,0.01800,-0.01700,0,0.159000,0.051000,-0.028000,0,1841.00,31.00,-38.00,0,1836,7,-7,0,0.0830,0.0700,-0.0550,0,1.37,0.03,-0.03,0,1.13,0.05,-0.05,0,-0.160,0.080,-0.080,0,,,,,10.2510000,0.0220000,-0.0220000
HAT-P-33 b,1,Published Confirmed,3.47447000,0.00000100,-0.00000100,0,,,,,292.40360,158.91500,-158.91500,0,20.737,5.492,-5.492,0,1.850,0.490,-0.490,0,292.40360,158.91500,-158.91500,0,0.92000,0.50000,-0.50000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,1.79,0.48,-0.48,0,1.82,1.45,-1.45,0,0.050,,,0,,,,,10.2630000,0.0210000,-0.0210000
HAT-P-34 b,1,Published Confirmed,5.45265400,0.00001600,-0.00001600,0,0.067740,0.000740,-0.000760,0,1058.37390,66.74430,-63.56600,0,13.417,1.457,-1.031,0,1.197,0.130,-0.092,0,1058.37390,66.74430,-63.56600,0,3.33000,0.21000,-0.20000,0,Mass,2.50000,0.75000,-0.60000,0,0.432000,0.029000,-0.027000,0,,,,,,,,,,,,,1.53,0.14,-0.10,0,1.39,0.05,-0.05,0,0.220,0.040,-0.040,0,1.700,0.400,-0.500,0,9.4600000,0.0220000,-0.0220000
HAT-P-35 b,1,Published Confirmed,3.64670600,0.00002100,-0.00002100,0,0.049780,0.000640,-0.000660,0,335.62848,10.48839,-10.48839,0,14.930,1.098,-1.098,0,1.332,0.098,-0.098,0,335.62848,10.48839,-10.48839,0,1.05600,0.03300,-0.03300,0,Mass,0.55000,0.14000,-0.11000,0,0.020000,,,1,,,,,,,,,,,,,1.44,0.08,-0.08,0,1.24,0.05,-0.05,0,0.110,0.080,-0.080,0,3.500,0.800,-0.500,0,11.3580000,0.0240000,-0.0240000
HAT-P-36 b,1,Published Confirmed,1.32734683,0.00000048,-0.00000048,0,0.024100,0.000470,-0.000470,0,587.41341,27.65121,-27.65121,0,14.314,0.224,-0.224,0,1.277,0.020,-0.020,0,587.41341,27.65121,-27.65121,0,1.84820,0.08700,-0.08700,0,Mass,1.17500,0.07800,-0.07800,0,,,,,,,,,1781,19,-19,0,0.2500,0.0070,-0.0070,0,1.04,0.01,-0.01,0,1.03,0.03,-0.03,0,,,,,,,,,11.0460000,0.0270000,-0.0270000
HAT-P-37 b,1,Published Confirmed,2.79743600,0.00000700,-0.00000700,0,0.037900,0.000600,-0.000600,0,371.52800,32.73500,-32.73500,0,13.204,0.863,-0.863,0,1.178,0.077,-0.077,0,371.52800,32.73500,-32.73500,0,1.16900,0.10300,-0.10300,0,Mass,0.89000,0.19000,-0.19000,0,0.058000,0.038000,-0.038000,0,,,,,1271,47,-47,0,0.5050,0.0410,-0.0620,0,0.88,0.06,,0,0.93,0.04,,0,,,,,,,,,12.0920000,0.0270000,-0.0270000
HAT-P-38 b,1,Published Confirmed,4.64038200,0.00003200,-0.00003200,0,0.052300,0.000900,-0.000900,0,84.85700,6.35600,-6.35600,0,9.247,1.031,-0.706,0,0.825,0.092,-0.063,0,84.85700,6.35600,-6.35600,0,0.26700,0.02000,-0.02000,0,Mass,0.59000,0.16000,-0.16000,0,0.067000,0.047000,-0.047000,0,,,,,1082,55,-55,0,0.3720,0.0940,-0.1320,0,0.92,0.10,,0,0.89,0.04,,0,,,,,,,,,10.9890000,0.0220000,-0.0220000
HAT-P-39 b,1,Published Confirmed,3.54387000,0.00000500,-0.00000500,0,0.050900,0.000600,-0.000600,0,190.37200,31.46400,-31.46400,0,17.609,1.211,-0.908,0,1.571,0.108,-0.081,0,190.37200,31.46400,-31.46400,0,0.59900,0.09900,-0.09900,0,Mass,0.19000,0.04000,-0.04000,0,0.000000,,,0,,,,,1752,43,-43,0,0.3490,0.0850,-0.1200,0,1.62,0.08,,0,1.40,0.05,,0,,,,,,,,,11.4240000,0.0200000,-0.0200000
HAT-P-4 b,1,Published Confirmed,3.05653600,,,0,0.044380,0.000810,-0.001500,0,213.25500,10.48800,-13.98400,0,14.280,0.549,-0.673,0,1.274,0.049,-0.060,0,213.25500,10.48800,-13.98400,0,0.67100,0.03300,-0.04400,0,Mass,0.40300,0.06500,-0.04900,0,0.000000,,,0,,,,,1686,30,-26,0,0.0100,0.2300,-0.0100,0,,,,,,,,,,,,,,,,,10.1000000,0.0220000,-0.0220000
HAT-P-40 b,1,Published Confirmed,4.45724000,0.00001000,-0.00001000,0,,,,,152.55840,41.31790,-41.31790,0,17.038,1.906,-1.906,0,1.520,0.170,-0.170,0,152.55840,41.31790,-41.31790,0,0.48000,0.13000,-0.13000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,1.94,0.22,-0.22,0,1.03,0.40,-0.40,0,0.220,,,0,,,,,10.3670000,0.0230000,-0.0230000
HAT-P-41 b,1,Published Confirmed,2.69405000,0.00000400,-0.00000400,0,,,,,378.21770,190.69800,-190.69800,0,22.978,5.604,-5.604,0,2.050,0.500,-0.500,0,378.21770,190.69800,-190.69800,0,1.19000,0.60000,-0.60000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,2.05,0.50,-0.50,0,2.56,1.90,-1.90,0,0.210,,,0,,,,,10.0060000,0.0270000,-0.0270000
HAT-P-42 b,1,Published Confirmed,4.64187800,0.00003200,-0.00003200,0,0.057500,0.001100,-0.001100,0,331.80100,26.37900,-26.37900,0,14.348,1.715,-1.715,0,1.280,0.153,-0.153,0,331.80100,26.37900,-26.37900,0,1.04400,0.08300,-0.08300,0,Mass,0.61000,0.34000,-0.15000,0,0.000000,,,0,,,,,1428,60,-60,0,0.5770,0.0680,-0.1620,0,1.53,0.14,-0.14,0,1.18,0.07,-0.07,0,0.270,0.080,-0.080,0,5.200,1.800,-0.700,0,10.9600000,0.0230000,-0.0230000
HAT-P-43 b,1,Published Confirmed,3.33264140,0.00001510,-0.00001530,0,0.044400,0.002100,-0.002100,0,,,,,13.630,0.640,-0.630,0,1.216,0.057,-0.056,0,,,,,,,,,,,,,,,,,,,,,,1353,16,-16,0,0.0700,0.0700,-0.0500,0,1.08,0.05,-0.05,0,1.03,0.04,-0.04,0,0.200,0.070,-0.070,0,,,,,12.1460000,0.0210000,-0.0210000
HAT-P-44 b,1,Published Confirmed,4.30121900,0.00001900,-0.00001900,0,0.050700,0.000700,-0.000700,0,111.87100,9.21700,-9.21700,0,13.922,1.188,-0.572,0,1.242,0.106,-0.051,0,111.87100,9.21700,-9.21700,0,0.35200,0.02900,-0.02900,0,Mass,0.23000,0.04000,-0.04000,0,0.044000,0.052000,-0.052000,0,,,,,1108,51,-32,0,0.1720,0.0790,-0.0740,0,0.95,0.08,-0.04,0,0.94,0.04,-0.04,0,0.330,0.100,-0.100,0,7.500,3.600,-3.600,0,11.7290000,0.0210000,-0.0210000
HAT-P-44 c,1,Published Confirmed,872.20000000,1.70000000,-1.70000000,0,1.752000,0.025000,-0.025000,0,1271.30000,444.90000,-254.30000,0,,,,,,,,,,,,,4.00000,1.40000,-0.80000,0,Msini,,,,,0.494000,0.081000,-0.081000,0,,,,,,,,,,,,,0.95,0.08,-0.04,0,0.94,0.04,-0.04,0,0.330,0.100,-0.100,0,7.500,3.600,-3.600,0,11.7290000,0.0210000,-0.0210000
HAT-P-45 b,1,Published Confirmed,3.12899200,0.00002100,-0.00002100,0,0.045200,0.000700,-0.000700,0,283.49200,43.54100,-31.46400,0,15.984,1.962,-0.975,0,1.426,0.175,-0.087,0,283.49200,43.54100,-31.46400,0,0.89200,0.13700,-0.09900,0,Mass,0.38000,0.09000,-0.09000,0,0.049000,0.063000,-0.063000,0,,,,,1652,90,-52,0,0.2810,0.0850,-0.1060,0,1.32,0.15,-0.07,0,1.26,0.06,-0.06,0,0.070,0.100,-0.100,0,2.000,0.800,-0.800,0,10.7300000,0.0270000,-0.0270000
HAT-P-46 b,1,Published Confirmed,4.46312900,0.00004800,-0.00004800,0,0.057700,0.001400,-0.000900,0,156.68400,26.06100,-16.52600,0,14.392,3.038,-1.491,0,1.284,0.271,-0.133,0,156.68400,26.06100,-16.52600,0,0.49300,0.08200,-0.05200,0,Mass,0.28000,0.10000,-0.10000,0,0.123000,0.120000,-0.120000,0,,,,,1458,140,-75,0,0.6260,0.0360,-0.0510,0,1.40,0.29,-0.14,0,1.28,0.10,-0.06,0,0.300,0.100,-0.100,0,2.500,0.700,-1.000,0,10.3300000,0.0240000,-0.0240000
HAT-P-49 b,1,Published Confirmed,2.69155000,0.00000600,-0.00000600,0,,,,,699.22600,187.51970,-187.51970,0,17.822,2.018,-2.018,0,1.590,0.180,-0.180,0,699.22600,187.51970,-187.51970,0,2.20000,0.59000,-0.59000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,2.06,0.23,-0.23,0,2.22,0.83,-0.83,0,0.070,,,0,,,,,9.5500000,0.0200000,-0.0200000
HAT-P-5 b,1,Published Confirmed,2.78849000,0.00002500,-0.00002500,0,,,,,311.47340,63.56600,-63.56600,0,13.563,1.121,-1.121,0,1.210,0.100,-0.100,0,311.47340,63.56600,-63.56600,0,0.98000,0.20000,-0.20000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,1.12,0.09,-0.09,0,1.04,0.29,-0.29,0,0.240,,,0,,,,,10.8440000,0.0210000,-0.0210000
HAT-P-50 b,1,Published Confirmed,3.12201090,0.00000650,-0.00000650,0,0.045300,0.000580,-0.001400,0,429.07050,23.20159,-23.20159,0,14.437,0.717,-0.717,0,1.288,0.064,-0.064,0,429.07050,23.20159,-23.20159,0,1.35000,0.07300,-0.07300,0,Mass,0.78000,0.11000,-0.11000,0,0.115000,,,1,,,,,1862,34,-34,0,0.6290,0.0320,-0.0410,0,1.70,0.07,-0.07,0,1.27,0.05,-0.12,0,-0.180,0.080,-0.080,0,3.370,1.440,-0.270,0,10.8160000,0.0210000,-0.0210000
HAT-P-51 b,1,Published Confirmed,4.21802780,0.00000590,-0.00000590,0,0.050690,0.000490,-0.000490,0,98.20947,5.72094,-5.72094,0,14.493,0.605,-0.605,0,1.293,0.054,-0.054,0,98.20947,5.72094,-5.72094,0,0.30900,0.01800,-0.01800,0,Mass,0.17800,0.02400,-0.02400,0,0.123000,,,1,,,,,1192,21,-21,0,0.2770,0.0850,-0.1190,0,1.04,0.04,-0.03,0,0.98,0.03,-0.03,0,0.270,0.080,-0.080,0,8.200,1.700,-1.700,0,12.0390000,0.0220000,-0.0220000
HAT-P-52 b,1,Published Confirmed,2.75359530,0.00000940,-0.00000940,0,0.036940,0.000380,-0.000380,0,259.98494,9.21707,-9.21707,0,11.310,0.807,-0.807,0,1.009,0.072,-0.072,0,259.98494,9.21707,-9.21707,0,0.81800,0.02900,-0.02900,0,Mass,0.98000,0.21000,-0.21000,0,0.047000,,,1,,,,,1218,37,-37,0,0.4610,0.0940,-0.1220,0,0.89,0.05,-0.05,0,0.89,0.03,-0.03,0,0.280,0.080,-0.080,0,9.400,4.100,-4.100,0,12.1950000,0.0220000,-0.0220000
HAT-P-53 b,1,Published Confirmed,1.96162410,0.00000390,-0.00000390,0,0.031590,0.000420,-0.000420,0,471.65972,17.79848,-17.79848,0,14.773,1.020,-1.020,0,1.318,0.091,-0.091,0,471.65972,17.79848,-17.79848,0,1.48400,0.05600,-0.05600,0,Mass,0.80000,0.15000,-0.15000,0,0.134000,,,1,,,,,1778,48,-48,0,0.3800,0.1100,-0.1500,0,1.21,0.08,-0.06,0,1.09,0.04,-0.04,0,0.000,0.080,-0.080,0,4.670,1.450,-0.830,0,12.4680000,0.0230000,-0.0230000
HAT-P-54 b,1,Published Confirmed,3.79984700,0.00001400,-0.00001400,0,0.041170,0.000430,-0.000430,0,241.55080,10.17056,-10.17056,0,10.581,0.314,-0.314,0,0.944,0.028,-0.028,0,241.55080,10.17056,-10.17056,0,0.76000,0.03200,-0.03200,0,Mass,1.11800,0.09800,-0.09800,0,0.074000,,,1,,,,,818,12,-12,0,0.7410,0.0100,-0.0110,0,0.62,0.01,-0.01,0,0.65,0.02,-0.02,0,-0.127,0.080,-0.080,0,3.900,4.300,-2.100,0,11.1450000,0.0270000,-0.0270000
HAT-P-55 b,1,Published Confirmed,3.58524670,0.00000640,-0.00000640,0,0.046040,0.000560,-0.000560,0,184.97706,17.79848,-17.79848,0,13.249,0.616,-0.616,0,1.182,0.055,-0.055,0,184.97706,17.79848,-17.79848,0,0.58200,0.05600,-0.05600,0,Mass,0.43500,0.07700,-0.07700,0,0.139000,,,1,,,,,1313,26,-26,0,0.3920,0.0730,-0.0860,0,1.01,0.04,-0.04,0,1.01,0.04,-0.04,0,-0.030,0.080,-0.080,0,4.200,1.700,-1.700,0,12.0200000,0.0220000,-0.0220000
HAT-P-56 b,1,Published Confirmed,2.79083000,0.00000500,-0.00000500,0,,,,,734.18730,139.84520,-139.84520,0,16.926,1.233,-1.233,0,1.510,0.110,-0.110,0,734.18730,139.84520,-139.84520,0,2.31000,0.44000,-0.44000,0,Mass,,,,,,,,,,,,,,,,,,,,,1.47,0.11,-0.11,0,1.42,0.33,-0.33,0,0.000,,,0,,,,,10.0680000,0.0210000,-0.0210000
HAT-P-57 b,1,Published Confirmed,2.46530000,0.00000300,-0.00000300,0,,,,,448.14030,483.10160,-483.10160,0,19.504,4.035,-4.035,0,1.740,0.360,-0.360,0,448.14030,483.10160,-483.10160,0,1.41000,1.52000,-1.52000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,1.85,0.39,-0.39,0,2.77,1.74,-1.74,0,-0.250,,,0,,,,,9.6700000,0.0270000,-0.0270000
HAT-P-58 b,1,Published Confirmed,4.01383790,0.00000240,-0.00000240,0,0.049940,0.000440,-0.000440,0,118.23217,9.53485,-9.53485,0,14.930,0.482,-0.482,0,1.332,0.043,-0.043,0,118.23217,9.53485,-9.53485,0,0.37200,0.03000,-0.03000,0,Mass,0.19400,0.02400,-0.02400,0,0.073000,,,1,1146.00,50.00,-50.00,0,1622,18,-18,0,0.5340,0.0300,-0.0310,0,1.53,0.03,-0.03,0,1.03,0.03,-0.03,0,-0.224,0.057,-0.057,0,7.110,0.270,-0.720,0,11.4290000,0.0220000,-0.0220000
HAT-P-59 b,1,Published Confirmed,4.14197710,0.00000120,-0.00000120,0,0.050640,0.000370,-0.000370,0,489.45575,21.29450,-21.29450,0,12.588,0.146,-0.146,0,1.123,0.013,-0.013,0,489.45575,21.29450,-21.29450,0,1.54000,0.06700,-0.06700,0,Mass,1.34700,0.08100,-0.08100,0,0.030000,,,1,441.40,8.90,-8.90,0,1278,6,-6,0,0.8299,0.0077,-0.0089,0,1.10,0.01,-0.01,0,1.01,0.02,-0.02,0,0.217,0.049,-0.049,0,7.300,1.000,-1.000,0,10.5810000,0.0200000,-0.0200000
HAT-P-6 b,1,Published Confirmed,3.85298000,0.00000500,-0.00000500,0,,,,,419.53560,95.34900,-95.34900,0,16.589,1.681,-1.681,0,1.480,0.150,-0.150,0,419.53560,95.34900,-95.34900,0,1.32000,0.30000,-0.30000,0,Mass,,,,,0.000000,,,0,,,,,,,,,,,,,1.62,0.17,-0.17,0,1.79,0.60,-0.60,0,-0.130,,,0,,,,,9.5580000,0.0230000,-0.0230000
HAT-P-60 b,1,Published Confirmed,4.79478130,0.00000240,-0.00000240,0,0.062770,0.000170,-0.000170,0,182.43351,12.07748,-12.07748,0,18.282,0.269,-0.269,0,1.631,0.024,-0.024,0,182.43351,12.07748,-12.07748,0,0.57400,0.03800,-0.03800,0,Mass,0.16400,0.01300,-0.01300,0,0.250000,,,1,1634.00,45.00,-45.00,0,1772,12,-12,0,0.6680,0.0110,-0.0140,0,2.20,0.03,-0.02,0,1.44,0.01,-0.01,0,0.037,0.037,-0.037,0,2.765,0.042,-0.056,0,8.6770000,0.0520000,-0.0520000
HAT-P-61 b,1,Published Confirmed,1.90231289,0.00000077,-0.00000077,0,0.030100,0.000340,-0.000340,0,335.94463,22.24799,-22.24799,0,10.077,0.303,-0.303,0,0.899,0.027,-0.027,0,335.94463,22.24799,-22.24799,0,1.05700,0.07000,-0.07000,0,Mass,1.80000,0.20000,-0.20000,0,0.113000,,,1,849.50,35.20,-35.20,0,1505,16,-16,0,0.7670,0.0150,-0.0170,0,0.94,0.01,-0.01,0,1.00,0.03,-0.03,0,0.194,0.060,-0.060,0,2.600,2.000,-2.000,0,11.5980000,0.0210000,-0.0210000
HAT-P-62 b,1,Published Confirmed,2.64532350,0.00000390,-0.00000390,0,0.037720,0.000240,-0.000240,0,241.86742,27.96890,-27.96890,0,12.027,0.325,-0.325,0,1.073,0.029,-0.029,0,241.86742,27.96890,-27.96890,0,0.76100,0.08800,-0.08800,0,Mass,0.77000,0.11000,-0.11000,0,0.101000,,,1,867.20,30.00,-30.00,0,1512,13,-13,0,0.2500,0.0640,-0.0840,0,1.17,0.02,-0.02,0,1.02,0.02,-0.02,0,0.414,0.090,-0.090,0,8.100,1.100,-1.100,0,11.1440000,0.0290000,-0.0290000
HAT-P-63 b,1,Published Confirmed,3.37772800,0.00001300,-0.00001300,0,0.042940,0.000350,-0.000350,0,195.14664,7.62788,-7.62788,0,12.543,0.370,-0.370,0,1.119,0.033,-0.033,0,195.14664,7.62788,-7.62788,0,0.61400,0.02400,-0.02400,0,Mass,0.54000,0.05500,-0.05500,0,0.069000,,,1,387.40,13.40,-13.40,0,1237,11,-11,0,0.2620,0.0680,-0.0660,0,0.97,0.01,-0.01,0,0.93,0.02,-0.02,0,0.251,0.061,-0.061,0,9.000,1.700,-1.700,0,,,
HAT-P-64 b,1,Published Confirmed,4.00723200,0.00000170,-0.00000170,0,0.053870,0.000300,-0.000300,0,184.34048,57.20911,-41.31769,0,19.089,0.785,-0.785,0,1.703,0.070,-0.070,0,184.34048,57.20911,-41.31769,0,0.58000,0.18000,-0.13000,0,Mass,0.14400,0.04600,-0.03500,0,0.101000,,,1,1611.00,78.00,-59.00,0,1766,22,-16,0,0.2320,0.0850,-0.0790,0,1.74,0.04,-0.03,0,1.30,0.02,-0.02,0,-0.113,0.027,-0.056,0,2.880,0.130,-0.130,0,11.4850000,0.0260000,-0.0260000
HAT-P-65 b,1,Published Confirmed,2.60545520,0.00000310,-0.00000310,0,0.039510,0.000540,-0.000540,0,167.49641,26.37989,-26.37989,0,21.185,1.457,-1.457,0,1.890,0.130,-0.130,0,167.49641,26.37989,-26.37989,0,0.52700,0.08300,-0.08300,0,Mass,0.09600,0.02500,-0.02500,0,0.304000,,,1,,,,,1930,45,-45,0,0.4640,0.0700,-0.0940,0,1.86,0.10,-0.10,0,1.21,0.05,-0.05,0,0.100,0.080,-0.080,0,5.460,0.610,-0.610,0,11.8920000,0.0260000,-0.0260000
HAT-P-66 b,1,Published Confirmed,2.97208600,0.00000570,-0.00000570,0,0.043630,0.001210,-0.000640,0,248.86089,18.11631,-18.11631,0,17.822,1.793,-1.121,0,1.590,0.160,-0.100,0,248.86089,18.11631,-18.11631,0,0.78300,0.05700,-0.05700,0,Mass,0.24200,0.04500,-0.06100,0,0.090000,,,1,,,,,1896,66,-42,0,0.3300,0.1300,-0.1600,0,1.88,0.15,-0.10,0,1.25,0.11,-0.05,0,0.035,0.080,-0.080,0,4.660,0.520,-1.120,0,12.0010000,0.0220000,-0.0220000
