pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
TOI-2977 b,1,Published Confirmed,2.35056140,0.00000250,-0.00000250,0,0.033860,0.000670,-0.000500,0,533.95172,82.63539,-79.45710,0,13.159,0.347,-0.303,0,1.174,0.031,-0.027,0,533.95172,82.63539,-79.45710,0,1.68000,0.26000,-0.25000,0,Mass,1.28000,0.21000,-0.20000,0,0.000000,,,0,947.80,66.90,-61.70,0,1544,26,-26,0,0.0970,0.0950,-0.0670,0,1.07,0.02,-0.02,0,0.94,0.06,-0.04,0,0.013,0.087,-0.085,0,9.800,2.600,-3.000,0,11.1280000,0.0260000,-0.0260000
TOI-3023 b,1,Published Confirmed,3.90149710,0.00000310,-0.00000310,0,0.050500,0.001500,-0.000900,0,197.05361,31.78284,-28.60456,0,16.432,0.482,-0.359,0,1.466,0.043,-0.032,0,197.05361,31.78284,-28.60456,0,0.62000,0.10000,-0.09000,0,Mass,0.24500,0.03900,-0.03800,0,0.000000,,,0,1084.00,68.00,-65.00,0,1596,24,-25,0,0.1300,0.1100,-0.0900,0,1.67,0.05,-0.03,0,1.12,0.11,-0.06,0,0.085,0.084,-0.083,0,7.000,1.700,-2.200,0,10.6800000,0.0240000,-0.0240000
TOI-3235 b,1,Published Confirmed,2.59261842,0.00000041,-0.00000041,0,0.027090,0.000460,-0.000460,0,211.35589,7.94571,-7.94571,0,11.400,0.493,-0.493,0,1.017,0.044,-0.044,0,211.35589,7.94571,-7.94571,0,0.66500,0.02500,-0.02500,0,Mass,0.78000,0.11000,-0.11000,0,0.029000,,,1,,,,,604,19,-19,0,0.5110,0.0110,-0.0120,0,0.37,0.02,-0.02,0,0.39,0.02,-0.02,0,0.264,0.100,-0.100,0,,,,,11.7060000,0.0250000,-0.0250000
TOI-3331 A b,1,Published Confirmed,2.01802310,0.00000430,-0.00000440,0,0.031440,0.000480,-0.000550,0,721.47048,50.85255,-50.85255,0,12.980,0.482,-0.482,0,1.158,0.043,-0.043,0,721.47048,50.85255,-50.85255,0,2.27000,0.16000,-0.16000,0,Mass,1.82000,0.24000,-0.21000,0,0.000000,0.048000,-0.052000,0,818.50,70.50,-61.00,0,1488,31,-29,0,0.5690,0.0300,-0.0340,0,0.95,0.03,-0.03,0,1.02,0.05,-0.05,0,0.148,0.084,-0.084,0,2.100,2.700,-1.500,0,10.3480000,0.0260000,-0.0260000
TOI-3362 b,1,Published Confirmed,18.09547000,0.00003000,-0.00003000,0,0.153000,0.002000,-0.003000,0,1598.35906,212.30938,-205.31715,0,12.801,0.482,-0.460,0,1.142,0.043,-0.041,0,1598.35906,212.30938,-205.31715,0,5.02900,0.66800,-0.64600,0,Mass,,,,,0.815000,0.023000,-0.032000,0,,,,,,,,,0.2700,0.2070,-0.1840,0,1.83,0.06,-0.05,0,1.45,0.07,-0.07,0,0.017,0.057,-0.049,0,2.140,0.660,-0.520,0,9.9440000,0.0240000,-0.0240000
TOI-3364 b,1,Published Confirmed,5.87689180,0.00000690,-0.00000690,0,0.067500,0.001100,-0.001600,0,530.77344,38.13941,-41.31769,0,12.229,0.426,-0.359,0,1.091,0.038,-0.032,0,530.77344,38.13941,-41.31769,0,1.67000,0.12000,-0.13000,0,Mass,1.60000,0.19000,-0.20000,0,0.000000,,,0,425.00,31.00,-27.00,0,1264,22,-21,0,0.2200,0.1100,-0.1300,0,1.42,0.04,-0.03,0,1.19,0.06,-0.08,0,0.387,0.072,-0.081,0,5.400,2.400,-1.500,0,10.1560000,0.0220000,-0.0220000
TOI-3540 A b,1,Published Confirmed,3.11999900,0.00000790,-0.00000790,0,0.042890,0.000920,-0.000930,0,375.03752,44.49598,-44.49598,0,23.539,,,0,2.100,,,0,375.03752,44.49598,-44.49598,0,1.18000,0.14000,-0.14000,0,Mass,0.06500,,,0,0.000000,,,0,841.30,50.70,-48.50,0,1498,22,-22,0,1.0730,,,0,1.23,0.03,-0.03,0,1.08,0.07,-0.07,0,0.176,0.089,-0.089,0,6.000,3.000,-2.500,0,10.2370000,0.0210000,-0.0210000
TOI-3629 b,1,Published Confirmed,3.93655100,0.00000500,-0.00000600,0,0.043000,0.002000,-0.002000,0,82.63539,6.35657,-6.35657,0,8.295,0.224,-0.224,0,0.740,0.020,-0.020,0,82.63539,6.35657,-6.35657,0,0.26000,0.02000,-0.02000,0,Mass,0.80000,0.10000,-0.10000,0,0.050000,0.050000,-0.040000,0,39.00,4.00,-4.00,0,690,20,-20,0,0.2000,0.1000,-0.1000,0,0.60,0.02,-0.01,0,0.63,0.02,-0.02,0,0.400,0.100,-0.100,0,7.000,2.000,-2.000,0,11.4240000,0.0270000,-0.0270000
TOI-3688 A b,1,Published Confirmed,3.24607500,0.00001200,-0.00001200,0,0.045600,0.000890,-0.000980,0,311.47184,31.78284,-34.96112,0,13.081,0.538,-0.493,0,1.167,0.048,-0.044,0,311.47184,31.78284,-34.96112,0,0.98000,0.10000,-0.11000,0,Mass,0.76000,0.13000,-0.12000,0,0.000000,,,0,924.30,72.00,-66.10,0,1534,29,-28,0,0.2700,0.1300,-0.1600,0,1.30,0.04,-0.04,0,1.20,0.07,-0.08,0,0.262,0.085,-0.086,0,3.300,2.200,-1.700,0,11.1290000,0.0260000,-0.0260000
TOI-3693 b,1,Published Confirmed,9.08851600,0.00002600,-0.00002700,0,0.081300,0.001100,-0.001200,0,324.18498,76.27882,-69.92225,0,12.599,0.325,-0.258,0,1.124,0.029,-0.023,0,324.18498,76.27882,-69.92225,0,1.02000,0.24000,-0.22000,0,Mass,0.89000,0.22000,-0.20000,0,0.000000,0.048000,-0.052000,0,68.60,4.70,-4.10,0,801,13,-12,0,0.1700,0.1000,-0.1100,0,0.79,0.02,-0.01,0,0.87,0.04,-0.04,0,0.071,0.079,-0.076,0,3.000,3.800,-2.100,0,10.6570000,0.0220000,-0.0220000
