pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,sy_dist,sy_disterr1,sy_disterr2,sy_jmag,sy_jmagerr1,sy_jmagerr2
Kepler-47 c,1,Published Confirmed,303.22700000,0.06200000,-0.02700000,0,0.963800,0.004100,-0.004400,0,4.650,0.090,-0.070,0,0.415,0.008,-0.006,0,3.17000,2.18000,-1.25000,0,0.00997,0.00686,-0.00393,0,Mass,0.17000,0.09000,-0.07000,0,0.044000,0.029000,-0.019000,0,,,,,,,,,90.192,0.005,-0.004,0,,,,,,,,,0.94,0.01,-0.01,0,0.96,0.01,-0.01,0,,,,,,,,,,,,,,,,,,,,,1025.0200000,30.6445000,-30.6445000,13.9700000,0.0280000,-0.0280000
Kepler-47 d,1,Published Confirmed,187.36600000,0.06900000,-0.05100000,0,0.699200,0.003100,-0.003300,0,7.040,0.660,-0.490,0,0.628,0.059,-0.044,0,19.02000,23.84000,-11.67000,0,0.05984,0.07501,-0.03672,0,Mass,0.30000,0.38000,-0.18000,0,0.024000,0.025000,-0.017000,0,,,,,,,,,90.395,0.009,-0.012,0,,,,,,,,,0.94,0.01,-0.01,0,0.96,0.01,-0.01,0,,,,,,,,,,,,,,,,,,,,,1025.0200000,30.6445000,-30.6445000,13.9700000,0.0280000,-0.0280000
Kepler-48 b,1,Published Confirmed,4.77800000,,,0,,,,,1.880,0.100,-0.100,0,0.168,0.009,-0.009,0,3.94000,2.10000,-2.10000,0,0.01240,0.00661,-0.00661,0,Mass,3.23000,1.84000,-1.84000,0,,,,,,,,,,,,,,,,,0.1700,0.1100,-0.1100,0,5194.00,73.00,-73.00,0,0.89,0.05,-0.05,0,0.88,0.06,-0.06,0,0.170,0.070,-0.070,0,,,,,4.49,0.05,-0.05,0,3.140,,,0,,,,,306.7380000,1.8250000,-1.8040000,11.7020000,0.0240000,-0.0240000
Kepler-48 c,1,Published Confirmed,9.67395000,,,0,,,,,2.710,0.140,-0.140,0,0.242,0.012,-0.012,0,14.61000,2.30000,-2.30000,0,0.04597,0.00724,-0.00724,0,Mass,4.01000,0.91000,-0.91000,0,,,,,,,,,,,,,,,,,0.3800,0.0500,-0.0500,0,5194.00,73.00,-73.00,0,0.89,0.05,-0.05,0,0.88,0.06,-0.06,0,0.170,0.070,-0.070,0,,,,,4.49,0.05,-0.05,0,3.140,,,0,,,,,306.7380000,1.8250000,-1.8040000,11.7020000,0.0240000,-0.0240000
Kepler-48 d,1,Published Confirmed,42.89610000,,,0,,,,,2.040,0.110,-0.110,0,0.182,0.010,-0.010,0,7.93000,4.60000,-4.60000,0,0.02500,0.01450,-0.01450,0,Mass,5.08000,3.12000,-3.12000,0,,,,,,,,,,,,,,,,,0.2000,0.1100,-0.1100,0,5194.00,73.00,-73.00,0,0.89,0.05,-0.05,0,0.88,0.06,-0.06,0,0.170,0.070,-0.070,0,,,,,4.49,0.05,-0.05,0,3.140,,,0,,,,,306.7380000,1.8250000,-1.8040000,11.7020000,0.0240000,-0.0240000
Kepler-5 b,1,Published Confirmed,3.54846570,0.00000070,-0.00000070,0,0.053800,0.001500,-0.002100,0,15.984,0.404,-0.572,0,1.426,0.036,-0.051,0,670.93913,21.29461,-27.33338,0,2.11100,0.06700,-0.08600,0,Mass,0.40000,0.50000,-0.50000,0,,,,,,,,,1750,20,-20,0,89.140,0.440,-0.320,0,0.0968,0.0350,-0.0490,0,6297.00,60.00,-60.00,0,1.79,0.04,-0.06,0,1.37,0.04,-0.06,0,0.040,0.060,-0.060,0,,,,,3.96,0.10,-0.10,0,,,,,,,,,899.7770000,16.7740000,-16.1810000,12.1150000,0.0290000,-0.0290000
Kepler-51 b,1,Published Confirmed,45.15400000,0.00020000,-0.00020000,0,0.251400,0.009700,-0.009700,0,7.100,0.300,-0.300,0,0.633,0.027,-0.027,0,2.10000,1.50000,-0.80000,0,0.00700,0.00500,-0.00300,0,Mass,0.03000,0.02000,-0.01000,0,0.040000,0.010000,-0.010000,0,,,,,543,11,-11,0,,,,,0.2510,0.0730,-0.1380,0,6018.00,107.00,-107.00,0,0.94,0.50,-0.50,0,1.04,0.12,-0.12,0,,,,,,,,,4.51,0.30,-0.30,0,0.300,2.300,-2.300,0,,,,,783.8310000,13.6690000,-13.2180000,13.5620000,0.0230000,-0.0230000
Kepler-51 c,1,Published Confirmed,85.31200000,0.00300000,-0.00200000,0,0.384000,0.015000,-0.015000,0,9.000,2.800,-1.700,0,0.803,0.250,-0.152,0,4.00000,0.40000,-0.40000,0,0.01300,0.00100,-0.00100,0,Mass,0.03000,0.02000,-0.03000,0,0.014000,0.013000,-0.009000,0,,,,,439,9,-9,0,,,,,1.0170,0.0340,-0.0230,0,6018.00,107.00,-107.00,0,0.94,0.50,-0.50,0,1.04,0.12,-0.12,0,,,,,,,,,4.51,0.30,-0.30,0,0.300,2.300,-2.300,0,,,,,783.8310000,13.6690000,-13.2180000,13.5620000,0.0230000,-0.0230000
Kepler-51 d,1,Published Confirmed,130.19400000,0.00500000,-0.00200000,0,0.509000,0.020000,-0.020000,0,9.700,0.500,-0.500,0,0.865,0.045,-0.045,0,7.60000,1.10000,-1.10000,0,0.02400,0.00300,-0.00300,0,Mass,0.04600,0.00900,-0.00900,0,0.008000,0.011000,-0.008000,0,,,,,381,8,-8,0,,,,,0.2500,0.0750,-0.1410,0,6018.00,107.00,-107.00,0,0.94,0.50,-0.50,0,1.04,0.12,-0.12,0,,,,,,,,,4.51,0.30,-0.30,0,0.300,2.300,-2.300,0,,,,,783.8310000,13.6690000,-13.2180000,13.5620000,0.0230000,-0.0230000
Kepler-52 b,1,Published Confirmed,7.87735650,0.00003800,-0.00003800,0,,,,,2.100,,,0,0.187,,,0,135.00000,,,1,0.42476,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,4075.00,,,0,0.52,,,0,0.54,,,0,,,,,,,,,4.74,,,0,,,,,,,,,321.5420000,2.4200000,-2.3830000,13.1530000,0.0250000,-0.0250000
Kepler-52 c,1,Published Confirmed,16.38500210,0.00014000,-0.00014000,0,,,,,1.840,,,0,0.164,,,0,45.40000,,,1,0.14284,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,4075.00,,,0,0.52,,,0,0.54,,,0,,,,,,,,,4.74,,,0,,,,,,,,,321.5420000,2.4200000,-2.3830000,13.1530000,0.0250000,-0.0250000
Kepler-53 b,1,Published Confirmed,18.64895250,0.00016000,-0.00016000,0,,,,,2.890,,,0,0.258,,,0,111.00000,,,1,0.34925,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,5858.00,,,0,0.89,,,0,0.98,,,0,,,,,,,,,4.53,,,0,,,,,,,,,1366.0700000,65.8100000,-60.1300000,14.2520000,0.0270000,-0.0270000
Kepler-53 c,1,Published Confirmed,38.55830380,0.00041000,-0.00041000,0,,,,,3.170,,,0,0.283,,,0,36.00000,,,1,0.11327,,,1,Mass,,,,,,,,,,,,,,,,,,,,,,,,,5858.00,,,0,0.89,,,0,0.98,,,0,,,,,,,,,4.53,,,0,,,,,,,,,1366.0700000,65.8100000,-60.1300000,14.2520000,0.0270000,-0.0270000
