pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim
BD+20 594 b,1,1,Transit,2016,K2,Published Confirmed,41.68550000,0.00300000,-0.00310000,0,0.241000,0.019000,-0.017000,0,2.230,0.140,-0.110,0,0.199,0.012,-0.010,0,16.30000,6.00000,-6.10000,0,0.05129,0.01888,-0.01919,0,7.89000,3.40000,-3.10000,0,0.000000,,,0,,,,,546,19,-18,0,,,,,,,,,0.02204,0.00058,-0.00057,0,G,5766.00,99.00,-99.00,0,0.93,0.06,-0.04,0,0.96,0.03,-0.03,0,-0.150,0.050,-0.050,0
BD+20 594 b,1,1,Transit,2016,K2,Published Confirmed,41.68550000,0.00300000,-0.00300000,0,,,,,2.578,0.112,-0.112,0,0.230,0.010,-0.010,0,22.24810,9.53490,-9.53490,0,0.07000,0.03000,-0.03000,0,,,,,0.000000,,,0,,,,,,,,,,,,,0.049000,0.002500,-0.002500,0,,,,,,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,-0.150,,,0
CFHTWIR-Oph 98 b,1,1,Imaging,2021,Hubble Space Telescope,Published Confirmed,8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,20.849,0.560,-0.560,0,1.860,0.050,-0.050,0,2479.06157,222.47988,-254.26273,0,7.80000,0.70000,-0.80000,0,,,,,,,,,,,,,1800,40,-40,0,,,,,,,,,,,,,M9-L1,2320.00,40.00,-40.00,0,0.24,0.01,-0.01,0,0.01,0.00,0.00,0,,,,
COCONUTS-2 b,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),Published Confirmed,402000000.00000000,470000000.00000000,-100000000.00000000,0,7506.000000,5205.000000,-2060.000000,0,12.442,0.336,-0.336,0,1.110,0.030,-0.030,0,2002.31896,476.74261,-603.87397,0,6.30000,1.50000,-1.90000,0,,,,,,,,,,,,,434,9,-9,0,,,,,,,,,,,,,M3 V,3406.00,69.00,-69.00,0,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,0.000,0.080,-0.080,0
CoRoT-1 b,1,1,Transit,2008,CoRoT,Published Confirmed,1.50896860,0.00000060,-0.00000060,0,0.025360,0.000990,-0.000990,0,17.385,0.729,-0.729,0,1.551,0.065,-0.065,0,327.36490,31.78300,-31.78300,0,1.03000,0.10000,-0.10000,0,0.34400,0.02800,-0.02800,0,,,,,,,,,1915,49,-49,0,,,,,,,,,,,,,,5950.00,150.00,-150.00,0,1.13,0.05,-0.05,0,0.95,0.11,-0.11,0,-0.300,0.250,-0.250,0
CoRoT-1 b,1,1,Transit,2008,CoRoT,Published Confirmed,1.50897655,0.00000010,-0.00000010,0,0.025900,0.001100,-0.002000,0,15.917,2.690,-2.690,0,1.420,0.240,-0.240,0,340.07810,54.03110,-54.03110,0,1.07000,0.17000,-0.17000,0,0.44000,0.13000,-0.13000,0,0.071000,0.620000,-0.480000,0,,,,,1834,46,-46,0,,,,,,,,,0.13810,0.00070,-0.00150,0,,5950.00,,,0,,,,,,,,,-0.300,,,0
CoRoT-1 b,1,1,Transit,2008,CoRoT,Published Confirmed,1.50896820,0.00000050,-0.00000050,0,0.027520,0.000220,-0.000230,0,19.223,0.336,-0.336,0,1.715,0.030,-0.030,0,390.93090,31.78300,-31.78300,0,1.23000,0.10000,-0.10000,0,0.30200,0.03100,-0.02800,0,0.036000,,,1,,,,,,,,,,,,,,,,,,,,,,6298.00,66.00,-66.00,0,1.23,0.02,-0.02,0,1.22,0.03,-0.03,0,0.060,0.070,-0.070,0
CoRoT-1 b,1,1,Transit,2008,CoRoT,Published Confirmed,1.50895570,0.00000640,-0.00000640,0,,,,,16.700,0.900,-0.900,0,1.490,0.080,-0.080,0,327.35000,38.14000,-38.14000,0,1.03000,0.12000,-0.12000,0,0.38000,0.05000,-0.05000,0,0.000000,,,0,,,,,1898,50,-50,0,,,,,1.926540,0.058737,-0.057855,0,0.13880,0.00210,-0.00210,0,G0 V,5950.00,150.00,-150.00,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,-0.300,0.250,-0.250,0
CoRoT-1 b,1,1,Transit,2008,CoRoT,Published Confirmed,1.50895570,,,0,0.026100,0.000500,-0.000500,0,16.589,0.673,-0.673,0,1.480,0.060,-0.060,0,359.14790,22.24810,-22.24810,0,1.13000,0.07000,-0.07000,0,,,,,0.000000,,,0,,,,,,,,,0.3500,0.0800,-0.0800,0,,,,,,,,,,5950.00,50.00,-50.00,0,1.14,0.03,-0.03,0,1.03,0.06,-0.06,0,,,,
CoRoT-10 b,1,1,Transit,2010,CoRoT,Published Confirmed,13.24060000,0.00020000,-0.00020000,0,0.106000,0.001400,-0.001400,0,10.548,0.953,-0.953,0,0.941,0.085,-0.085,0,883.56740,47.67450,-47.67450,0,2.78000,0.15000,-0.15000,0,4.16000,1.17000,-1.17000,0,,,,,,,,,647,24,-24,0,,,,,,,,,,,,,,5075.00,75.00,-75.00,0,0.74,0.06,-0.06,0,0.90,0.04,-0.04,0,0.260,0.070,-0.070,0
