pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_age,st_ageerr1,st_ageerr2,st_agelim,sy_jmag,sy_jmagerr1,sy_jmagerr2
14 Her b,0,Published Confirmed,1766.00000000,,,0,2.864000,,,0,1581.13800,,,0,,,,,,,,,,,,,4.97500,,,0,Msini,,,,,0.359000,,,0,,,,,,,,,,,,,1.00,0.05,-0.08,0,0.91,0.14,-0.09,0,0.400,0.100,-0.100,0,,,,,5.1580000,0.0290000,-0.0290000
16 Cyg B b,0,Published Confirmed,800.80000000,11.70000000,-11.70000000,0,1.600000,,,0,476.70000,,,0,,,,,,,,,,,,,1.50000,,,0,Msini,,,,,0.634000,0.082000,-0.082000,0,,,,,,,,,,,,,,,,,1.00,0.05,-0.05,0,0.050,0.060,-0.060,0,,,,,4.9930000,0.0370000,-0.0370000
16 Cyg B b,0,Published Confirmed,799.50000000,0.60000000,-0.60000000,0,1.680000,0.030000,-0.030000,0,533.93000,22.25000,-22.25000,0,,,,,,,,,,,,,1.68000,0.07000,-0.07000,0,Msini,,,,,0.689000,0.011000,-0.011000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9930000,0.0370000,-0.0370000
16 Cyg B b,1,Published Confirmed,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,565.73740,25.42640,-25.42640,0,,,,,,,,,,,,,1.78000,0.08000,-0.08000,0,Msini,,,,,0.680000,0.020000,-0.020000,0,,,,,,,,,,,,,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.060,,,0,,,,,4.9930000,0.0370000,-0.0370000
16 Cyg B b,0,Published Confirmed,799.45000000,0.15000000,-0.15000000,0,1.676000,0.025000,-0.025000,0,556.83537,17.16273,-16.84491,0,,,,,,,,,,,,,1.75200,0.05400,-0.05300,0,Msini,,,,,0.683200,0.003100,-0.003100,0,,,,,,,,,,,,,1.16,0.03,-0.03,0,0.98,0.04,-0.04,0,0.074,0.061,-0.061,0,,,,,4.9930000,0.0370000,-0.0370000
16 Cyg B b,0,Published Confirmed,798.50000000,1.00000000,-1.00000000,0,1.681000,0.097000,-0.097000,0,533.95440,47.67450,-47.67450,0,,,,,,,,,,,,,1.68000,0.15000,-0.15000,0,Msini,,,,,0.681000,0.017000,-0.017000,0,,,,,,,,,,,,,,,,,0.99,,,0,0.038,,,0,,,,,4.9930000,0.0370000,-0.0370000
16 Cyg B b,0,Published Confirmed,799.50000000,0.60000000,-0.60000000,0,1.680000,0.030000,-0.030000,0,533.93000,22.25000,-22.25000,0,,,,,,,,,,,,,1.68000,0.07000,-0.07000,0,Msini,,,,,0.689000,0.011000,-0.011000,0,,,,,,,,,,,,,1.13,0.08,-0.05,0,1.03,0.15,-0.12,0,0.060,0.100,-0.100,0,,,,,4.9930000,0.0370000,-0.0370000
17 Sco b,1,Published Confirmed,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,1373.01872,47.67426,-38.13941,0,,,,,,,,,,,,,4.32000,0.15000,-0.12000,0,Msini,,,,,0.060000,0.030000,-0.020000,0,,,,,,,,,,,,,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.010,0.100,-0.100,0,5.130,2.120,-1.330,0,2.9430000,0.2700000,-0.2700000
18 Del b,0,Published Confirmed,,,,,2.540000,0.040000,-0.040000,0,3127.30000,95.30000,-95.30000,0,,,,,,,,,,,,,9.84000,0.30000,-0.30000,0,Msini,,,,,,,,,,,,,,,,,,,,,,,,,2.10,0.10,-0.10,0,,,,,,,,,4.0320000,0.2360000,-0.2360000
18 Del b,1,Published Confirmed,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,3273.50000,,,0,,,,,,,,,,,,,10.30000,,,0,Msini,,,,,0.080000,0.010000,-0.010000,0,,,,,,,,,,,,,8.50,,,0,2.30,,,0,-0.052,0.023,-0.023,0,,,,,4.0320000,0.2360000,-0.2360000
1RXS J160929.1-210524 b,1,Published Confirmed,,,,,330.000000,,,0,3000.00000,300.00000,-300.00000,0,,,,,,,,,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,1700,100,-100,0,,,,,,,,,0.85,0.20,-0.10,0,,,,,0.005,,,0,9.8200000,0.0270000,-0.0270000
1RXS J160929.1-210524 b,0,Published Confirmed,,,,,330.000000,,,0,2543.00000,1271.00000,-636.00000,0,18.647,,,0,1.664,,,0,2543.00000,1271.00000,-636.00000,0,8.00000,4.00000,-2.00000,0,Mass,,,,,,,,,,,,,1800,200,-100,0,,,,,1.35,,,0,0.85,0.20,-0.10,0,,,,,0.005,,,0,9.8200000,0.0270000,-0.0270000
1RXS J160929.1-210524 b,0,Published Confirmed,,,,,330.000000,,,0,4000.00000,300.00000,-300.00000,0,,,,,,,,,4000.00000,300.00000,-300.00000,0,12.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,1700,100,-100,0,,,,,,,,,0.85,0.20,-0.10,0,,,,,0.010,,,0,9.8200000,0.0270000,-0.0270000
1RXS J160929.1-210524 b,0,Published Confirmed,,,,,330.000000,,,0,3000.00000,1000.00000,-700.00000,0,,,,,,,,,3000.00000,1000.00000,-700.00000,0,8.00000,3.00000,-2.00000,0,Mass,,,,,,,,,,,,,1800,200,-200,0,,,,,1.31,0.18,-0.10,0,0.62,0.06,-0.11,0,,,,,,,,,9.8200000,0.0270000,-0.0270000
24 Boo b,1,Published Confirmed,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,289.22530,41.31790,-31.78300,0,,,,,,,,,,,,,0.91000,0.13000,-0.10000,0,Msini,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,,,,,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,-0.770,0.030,-0.030,0,6.920,4.830,-2.750,0,3.8450000,0.2400000,-0.2400000
24 Sex b,1,Published Confirmed,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,632.46000,82.63000,-120.77000,0,,,,,,,,,,,,,1.99000,0.26000,-0.38000,0,Msini,,,,,0.090000,0.140000,-0.060000,0,,,,,,,,,,,,,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,2.700,0.400,-0.400,0,5.2920000,0.3380000,-0.3380000
24 Sex c,1,Published Confirmed,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,273.32000,111.24000,-69.92000,0,,,,,,,,,,,,,0.86000,0.35000,-0.22000,0,Msini,,,,,0.290000,0.160000,-0.090000,0,,,,,,,,,,,,,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.030,0.040,-0.040,0,2.700,0.400,-0.400,0,5.2920000,0.3380000,-0.3380000
2M0437 b,1,Published Confirmed,,,,,118.000000,1.300000,-1.300000,0,1271.31363,317.82841,-317.82841,0,,,,,,,,,1271.31363,317.82841,-317.82841,0,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,1450,50,-50,0,,,,,0.84,0.11,-0.11,0,0.17,0.01,-0.02,0,0.010,0.050,-0.050,0,2.500,0.400,-0.400,0,11.2980000,0.0200000,-0.0200000
2MASS J01033563-5515561 AB b,1,Published Confirmed,,,,,84.000000,,,0,4131.79000,317.83000,-317.83000,0,,,,,,,,,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.02,-0.02,0,,,,,0.030,,,0,10.1620000,0.0230000,-0.0230000
2MASS J01225093-2439505 b,1,Published Confirmed,,,,,52.000000,6.000000,-6.000000,0,7786.50000,794.50000,-794.50000,0,,,,,,,,,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,0.40,0.05,-0.05,0,,,,,0.120,0.010,-0.010,0,10.0840000,0.0280000,-0.0280000
2MASS J02192210-3925225 b,1,Published Confirmed,,,,,156.000000,10.000000,-10.000000,0,4417.83700,349.61300,-349.61300,0,16.141,0.336,-0.336,0,1.440,0.030,-0.030,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0,Mass,,,,,,,,,,,,,,,,,,,,,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,,,0.035,0.005,-0.005,0,11.3810000,0.0260000,-0.0260000
2MASS J04414489+2301513 b,1,Published Confirmed,,,,,15.000000,,,0,2383.60000,794.50000,-794.50000,0,,,,,,,,,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0,,,,,0.001,,,0,14.4190000,0.0260000,-0.0260000
