pl_name,default_flag,soltype,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,sy_dist,sy_disterr1,sy_disterr2,sy_jmag,sy_jmagerr1,sy_jmagerr2
K2-414 c,1,Published Confirmed,6.66900000,0.00020000,-0.00020000,0,0.055200,0.001700,-0.002300,0,1.929,0.063,-0.073,0,0.172,0.006,-0.006,0,,,,,,,,,,,,,,,,,,56.13,,,0,,,,,89.997,0.683,-0.679,0,,,,,4343.00,138.00,-138.00,0,0.73,0.06,-0.05,0,0.81,0.36,-0.25,0,-0.102,0.235,-0.235,0,,,,,4.62,0.15,-0.15,0,,,,,,,,,260.0360000,2.3740000,-2.3330000,12.1840000,0.0240000,-0.0240000
K2-415 b,1,Published Confirmed,4.01796940,0.00000270,-0.00000270,0,0.027000,0.000230,-0.000230,0,1.015,0.051,-0.005,0,0.091,0.005,0.000,0,7.50000,,,1,0.02360,,,1,Mass,,,,,,,,,4.82,0.45,-0.42,0,412,9,-9,0,89.320,0.410,-0.410,0,0.3700,0.1900,-0.2300,0,3173.00,53.00,-53.00,0,0.20,0.01,-0.01,0,0.16,0.00,0.00,0,-0.130,0.180,-0.180,0,-2.455,0.039,-0.039,0,5.07,0.03,-0.03,0,,,,,4.30,0.06,-0.06,0,21.8182000,0.0307000,-0.0307000,10.7390000,0.0260000,-0.0260000
K2-416 b,1,Published Confirmed,13.10200000,0.00260000,-0.00240000,0,0.088000,0.010000,-0.021000,0,2.660,0.190,-0.140,0,0.237,0.017,-0.012,0,1652.70772,,,1,5.20000,,,1,Mass,,,,,,,,,,,,,447,49,-49,0,89.250,0.530,-0.860,0,0.4500,0.2900,-0.3000,0,3746.00,72.00,-72.00,0,0.55,0.02,-0.02,0,0.55,0.01,-0.01,0,,,,,-1.270,0.010,-0.011,0,4.69,0.04,-0.04,0,,,,,,,,,120.3110000,0.6050000,-0.5990000,11.5850000,0.0220000,-0.0220000
K2-417 b,1,Published Confirmed,6.53500000,0.00140000,-0.00140000,0,0.063000,0.006000,-0.014000,0,3.310,0.140,-0.120,0,0.295,0.012,-0.011,0,699.22250,,,1,2.20000,,,1,Mass,,,,,,,,,,,,,558,55,-55,0,89.000,0.710,-1.200,0,0.4100,0.2900,-0.2800,0,3861.00,77.00,-77.00,0,0.58,0.00,0.00,0,0.57,0.01,-0.01,0,,,,,-1.202,0.007,-0.007,0,4.67,0.01,-0.01,0,,,,,,,,,94.0424000,0.3023000,-0.3003000,10.9080000,0.0230000,-0.0230000
K2-42 b,1,Published Confirmed,6.68796000,0.00093000,-0.00093000,0,0.061700,0.001300,-0.001300,0,2.150,0.240,-0.240,0,0.192,0.021,-0.021,0,,,,,,,,,,,,,,,,,,44.10,6.30,-6.30,0,,,,,,,,,,,,,4613.00,71.00,-71.00,0,0.64,0.04,-0.04,0,0.70,0.05,-0.05,0,,,,,,,,,4.66,0.05,-0.05,0,,,,,,,,,396.9130000,7.9400000,-7.6400000,12.9820000,0.0230000,-0.0230000
K2-43 b,1,Published Confirmed,3.47114900,0.00010400,-0.00005200,0,,,,,4.510,0.440,-0.190,0,0.402,0.039,-0.017,0,,,,,,,,,,,,,,,,,,,,,,939,38,-18,0,89.600,1.350,-0.670,0,0.1100,0.3200,-0.1700,0,3840.60,98.80,-49.50,0,0.54,0.05,-0.02,0,0.57,0.11,-0.06,0,,,,,,,,,,,,,,,,,,,,,182.5360000,1.9095000,-1.9095000,12.4220000,0.0240000,-0.0240000
K2-43 c,1,Published Confirmed,2.19888400,0.00002200,-0.00001100,0,,,,,2.420,0.260,-0.110,0,0.216,0.023,-0.010,0,,,,,,,,,,,,,,,,,,,,,,1094,44,-22,0,89.260,1.850,-0.950,0,0.1400,0.3200,-0.1800,0,3840.60,98.80,-49.50,0,0.54,0.05,-0.02,0,0.57,0.11,-0.06,0,,,,,,,,,,,,,,,,,,,,,182.5360000,1.9095000,-1.9095000,12.4220000,0.0240000,-0.0240000
K2-44 b,1,Published Confirmed,5.65700000,0.00020000,-0.00020000,0,0.060000,0.001900,-0.002900,0,2.433,0.089,-0.072,0,0.217,0.008,-0.006,0,,,,,,,,,,,,,,,,,,,,,,,,,,87.993,1.022,-1.163,0,0.2900,0.1500,-0.1700,0,5912.00,51.00,-51.00,0,1.58,0.15,-0.15,0,1.15,0.06,-0.06,0,0.000,,,0,,,,,4.10,0.06,-0.06,0,,,,,,,,,476.7030000,10.2020000,-9.7910000,11.0180000,0.0260000,-0.0260000
K2-45 b,1,Published Confirmed,1.72926840,0.00000690,-0.00000690,0,0.022400,0.001200,-0.001200,0,6.710,0.000,0.000,0,0.599,0.000,0.000,0,,,,,,,,,,,,,,,,,,100.00,32.00,-32.00,0,,,,,,,,,,,,,4103.00,90.00,-90.00,0,0.45,0.07,-0.07,0,0.50,0.08,-0.08,0,,,,,,,,,4.82,0.07,-0.07,0,,,,,,,,,495.3170000,10.7770000,-10.3350000,13.5360000,0.0260000,-0.0260000
K2-46 b,1,Published Confirmed,19.15410000,0.00410000,-0.00410000,0,0.138210,0.000960,-0.000960,0,2.050,0.240,-0.240,0,0.183,0.021,-0.021,0,,,,,,,,,,,,,,,,,,119.00,22.00,-22.00,0,,,,,,,,,,,,,6256.00,37.00,-37.00,0,1.29,0.12,-0.12,0,0.96,0.02,-0.02,0,,,,,,,,,4.20,0.07,-0.07,0,,,,,,,,,449.2370000,10.6630000,-10.1880000,11.0460000,0.0260000,-0.0260000
K2-47 b,1,Published Confirmed,31.63720000,0.00880000,-0.00880000,0,0.177900,0.001600,-0.001600,0,1.890,0.260,-0.260,0,0.169,0.023,-0.023,0,,,,,,,,,,,,,,,,,,10.70,1.10,-1.10,0,,,,,,,,,,,,,5054.00,82.00,-82.00,0,0.76,0.03,-0.03,0,0.75,0.02,-0.02,0,,,,,,,,,4.54,0.04,-0.04,0,,,,,,,,,349.8810000,5.2745000,-5.2745000,12.2950000,0.0230000,-0.0230000
K2-48 b,1,Published Confirmed,20.50650000,0.00350000,-0.00350000,0,0.134400,0.001200,-0.001200,0,2.240,0.240,-0.240,0,0.200,0.021,-0.021,0,,,,,,,,,,,,,,,,,,15.30,1.30,-1.30,0,,,,,,,,,,,,,4899.00,78.00,-78.00,0,0.73,0.02,-0.02,0,0.77,0.02,-0.02,0,,,,,,,,,4.60,0.03,-0.03,0,,,,,,,,,313.7640000,2.8560000,-2.8560000,12.4300000,0.0220000,-0.0220000
K2-49 b,1,Published Confirmed,2.77065000,0.00015000,-0.00015000,0,0.030900,0.002900,-0.002900,0,1.930,0.530,-0.530,0,0.172,0.047,-0.047,0,,,,,,,,,,,,,,,,,,59.00,35.00,-35.00,0,,,,,,,,,,,,,4175.00,97.00,-97.00,0,0.45,0.12,-0.12,0,0.51,0.14,-0.14,0,,,,,,,,,4.81,0.11,-0.11,0,,,,,,,,,457.1250000,10.2230000,-9.7930000,13.4630000,0.0260000,-0.0260000
K2-5 b,1,Published Confirmed,5.73594000,0.00064000,-0.00064000,0,0.053200,0.003800,-0.003800,0,1.910,0.440,-0.440,0,0.170,0.039,-0.039,0,,,,,,,,,,,,,,,,,,24.10,18.40,-11.30,0,565,84,-84,0,87.350,1.880,-3.370,0,0.6500,0.2200,-0.4100,0,3930.00,375.00,-375.00,0,0.57,0.12,-0.12,0,0.61,0.13,-0.13,0,-0.330,0.190,-0.190,0,,,,,4.71,0.21,-0.21,0,,,,,,,,,202.9430000,1.6650000,-1.6390000,12.4490000,0.0300000,-0.0300000
K2-5 c,1,Published Confirmed,10.93241000,0.00134000,-0.00134000,0,0.081800,0.005900,-0.005900,0,2.260,0.620,-0.620,0,0.202,0.055,-0.055,0,,,,,,,,,,,,,,,,,,10.20,7.80,-4.80,0,456,68,-68,0,86.950,2.470,-2.470,0,0.8300,0.0900,-0.4300,0,3930.00,375.00,-375.00,0,0.57,0.12,-0.12,0,0.61,0.13,-0.13,0,-0.330,0.190,-0.190,0,,,,,4.71,0.21,-0.21,0,,,,,,,,,202.9430000,1.6650000,-1.6390000,12.4490000,0.0300000,-0.0300000
K2-50 b,1,Published Confirmed,8.75290000,0.00130000,-0.00130000,0,0.070500,0.002200,-0.002200,0,1.590,0.240,-0.240,0,0.142,0.021,-0.021,0,,,,,,,,,,,,,,,,,,18.80,4.30,-4.30,0,,,,,,,,,,,,,4326.00,128.00,-128.00,0,0.55,0.05,-0.05,0,0.61,0.06,-0.06,0,,,,,,,,,4.74,0.05,-0.05,0,,,,,,,,,257.4430000,3.2390000,-3.2390000,12.4100000,0.0270000,-0.0270000
K2-52 b,1,Published Confirmed,3.53505500,0.00001700,-0.00001600,0,0.054000,0.002000,-0.002000,0,18.000,2.200,-2.200,0,1.606,0.196,-0.196,0,,,,,,,,,,,,,,,,,,,,,,2004,184,-184,0,86.460,2.040,-1.910,0,0.3200,0.1400,-0.1800,0,7147.00,483.00,-506.00,0,2.19,0.28,-0.23,0,1.69,0.16,-0.14,0,0.055,0.154,-0.139,0,,,,,3.98,0.09,-0.09,0,,,,,,,,,1038.4100000,71.3700000,-62.8730000,12.7290000,0.0260000,-0.0260000
K2-53 b,1,Published Confirmed,12.20772000,0.00012300,-0.00011300,0,0.098000,0.001000,-0.001000,0,2.600,0.100,-0.100,0,0.232,0.009,-0.009,0,,,,,,,,,,,,,,,,,,,,,,665,13,-13,0,89.320,0.220,-0.160,0,0.3100,0.0700,-0.1000,0,5263.00,88.00,-86.00,0,0.81,0.02,-0.01,0,0.85,0.03,-0.04,0,-0.037,0.052,-0.053,0,,,,,4.55,0.02,-0.03,0,,,,,,,,,138.0180000,1.1400000,-1.1210000,10.3060000,0.0240000,-0.0240000
K2-54 b,1,Published Confirmed,9.78430000,0.00140000,-0.00140000,0,0.067100,0.003700,-0.003700,0,1.150,0.190,-0.190,0,0.103,0.017,-0.017,0,,,,,,,,,,,,,,,,,,6.10,2.00,-2.00,0,,,,,,,,,,,,,3798.00,113.00,-113.00,0,0.38,0.05,-0.05,0,0.42,0.07,-0.07,0,,,,,,,,,4.89,0.06,-0.06,0,,,,,,,,,174.9550000,1.0145000,-1.0145000,11.8500000,0.0370000,-0.0370000
K2-55 b,1,Published Confirmed,2.84925800,0.00003300,-0.00003300,0,0.034860,0.000780,-0.000780,0,3.820,0.320,-0.320,0,0.341,0.029,-0.029,0,,,,,,,,,,,,,,,,,,115.00,24.00,-24.00,0,,,,,,,,,,,,,4456.00,148.00,-148.00,0,0.63,0.05,-0.05,0,0.70,0.05,-0.05,0,,,,,,,,,4.67,0.05,-0.05,0,,,,,,,,,159.5220000,0.7300000,-0.7250000,11.2300000,0.0230000,-0.0230000
K2-57 b,1,Published Confirmed,9.00630000,0.00130000,-0.00130000,0,0.074600,0.002000,-0.002000,0,2.100,0.250,-0.250,0,0.187,0.022,-0.022,0,,,,,,,,,,,,,,,,,,24.10,4.30,-4.30,0,,,,,,,,,,,,,4434.00,61.00,-61.00,0,0.62,0.05,-0.05,0,0.68,0.06,-0.06,0,,,,,,,,,4.68,0.05,-0.05,0,,,,,,,,,264.2130000,2.0600000,-2.0290000,12.3500000,0.0240000,-0.0240000
K2-58 b,1,Published Confirmed,7.05254000,0.00032000,-0.00032000,0,0.069200,0.002100,-0.002100,0,2.680,0.370,-0.370,0,0.239,0.033,-0.033,0,,,,,,,,,,,,,,,,,,118.00,36.00,-36.00,0,,,,,,,,,,,,,5413.00,255.00,-255.00,0,0.86,0.10,-0.10,0,0.89,0.08,-0.08,0,,,,,,,,,4.52,0.07,-0.07,0,,,,,,,,,181.7460000,1.4350000,-1.4130000,10.7650000,0.0220000,-0.0220000
K2-58 c,1,Published Confirmed,2.53726000,0.00017000,-0.00017000,0,0.035000,0.001100,-0.001100,0,1.620,0.230,-0.230,0,0.145,0.021,-0.021,0,,,,,,,,,,,,,,,,,,462.00,142.00,-142.00,0,,,,,,,,,,,,,5413.00,255.00,-255.00,0,0.86,0.10,-0.10,0,0.89,0.08,-0.08,0,,,,,,,,,4.52,0.07,-0.07,0,,,,,,,,,181.7460000,1.4350000,-1.4130000,10.7650000,0.0220000,-0.0220000
K2-58 d,1,Published Confirmed,22.88270000,0.00400000,-0.00400000,0,0.151700,0.004600,-0.004600,0,1.710,0.250,-0.250,0,0.153,0.022,-0.022,0,,,,,,,,,,,,,,,,,,24.60,7.60,-7.60,0,,,,,,,,,,,,,5413.00,255.00,-255.00,0,0.86,0.10,-0.10,0,0.89,0.08,-0.08,0,,,,,,,,,4.52,0.07,-0.07,0,,,,,,,,,181.7460000,1.4350000,-1.4130000,10.7650000,0.0220000,-0.0220000
K2-59 b,1,Published Confirmed,20.69210000,0.00330000,-0.00330000,0,0.135400,0.004300,-0.004300,0,2.410,0.310,-0.310,0,0.215,0.028,-0.028,0,,,,,,,,,,,,,,,,,,17.10,3.80,-3.80,0,,,,,,,,,,,,,5055.00,93.00,-93.00,0,0.73,0.07,-0.07,0,0.77,0.07,-0.07,0,,,,,,,,,4.59,0.05,-0.05,0,,,,,,,,,311.3130000,3.5440000,-3.4670000,12.4540000,0.0230000,-0.0230000
K2-59 c,1,Published Confirmed,11.29540000,0.00100000,-0.00100000,0,0.090500,0.002800,-0.002800,0,2.300,0.290,-0.290,0,0.205,0.026,-0.026,0,,,,,,,,,,,,,,,,,,38.30,8.40,-8.40,0,,,,,,,,,,,,,5055.00,93.00,-93.00,0,0.73,0.07,-0.07,0,0.77,0.07,-0.07,0,,,,,,,,,4.59,0.05,-0.05,0,,,,,,,,,311.3130000,3.5440000,-3.4670000,12.4540000,0.0230000,-0.0230000
K2-6 b,1,Published Confirmed,30.94191000,0.00467000,-0.00467000,0,0.189800,0.005600,-0.005600,0,2.500,0.880,-0.880,0,0.223,0.079,-0.079,0,,,,,,,,,,,,,,,,,,,,,,615,105,-105,0,,,,,,,,,5850.00,79.00,-98.00,0,0.96,0.14,-0.09,0,0.97,0.07,-0.07,0,-0.140,0.170,-0.200,0,,,,,,,,,,,,,,,,,316.8190000,6.4580000,-6.2100000,11.4400000,0.0240000,-0.0240000
K2-60 b,1,Published Confirmed,3.00265000,0.00004000,-0.00004000,0,0.045000,0.003000,-0.003000,0,7.656,0.415,-0.415,0,0.683,0.037,-0.037,0,135.39558,11.75971,-11.75971,0,0.42600,0.03700,-0.03700,0,Mass,1.70000,0.30000,-0.30000,0,0.000000,,,0,,,,,1400,50,-50,0,88.490,0.960,-0.960,0,0.2100,0.1300,-0.1300,0,5500.00,100.00,-100.00,0,1.12,0.05,-0.05,0,0.97,0.07,-0.07,0,0.010,0.110,-0.110,0,,,,,4.07,0.11,-0.11,0,10.000,3.000,-3.000,0,,,,,491.8700000,11.4700000,-10.9690000,11.4100000,0.0210000,-0.0210000
K2-61 b,1,Published Confirmed,2.57302000,0.00020000,-0.00020000,0,0.039200,0.002400,-0.002400,0,2.480,0.790,-0.790,0,0.221,0.070,-0.070,0,,,,,,,,,,,,,,,,,,1686.00,1125.00,-1125.00,0,,,,,,,,,,,,,6293.00,338.00,-338.00,0,1.36,0.41,-0.41,0,1.21,0.22,-0.22,0,,,,,,,,,4.25,0.20,-0.20,0,,,,,,,,,405.7320000,8.4130000,-8.0830000,11.7580000,0.0220000,-0.0220000
K2-62 b,1,Published Confirmed,6.67202000,0.00028000,-0.00028000,0,0.063600,0.001400,-0.001400,0,2.140,0.210,-0.210,0,0.191,0.019,-0.019,0,,,,,,,,,,,,,,,,,,66.00,15.00,-15.00,0,,,,,,,,,,,,,4880.00,216.00,-216.00,0,0.73,0.05,-0.05,0,0.77,0.05,-0.05,0,,,,,,,,,4.60,0.04,-0.04,0,,,,,,,,,112.4670000,0.4910000,-0.4870000,10.3740000,0.0230000,-0.0230000
K2-62 c,1,Published Confirmed,16.19660000,0.00120000,-0.00120000,0,0.114800,0.002500,-0.002500,0,2.140,0.220,-0.220,0,0.191,0.020,-0.020,0,,,,,,,,,,,,,,,,,,20.50,4.70,-4.70,0,,,,,,,,,,,,,4880.00,216.00,-216.00,0,0.73,0.05,-0.05,0,0.77,0.05,-0.05,0,,,,,,,,,4.60,0.04,-0.04,0,,,,,,,,,112.4670000,0.4910000,-0.4870000,10.3740000,0.0230000,-0.0230000
K2-63 b,1,Published Confirmed,20.25700000,0.00720000,-0.00720000,0,0.162700,0.009700,-0.009700,0,3.220,0.990,-0.990,0,0.287,0.088,-0.088,0,,,,,,,,,,,,,,,,,,188.00,120.00,-120.00,0,,,,,,,,,,,,,6771.00,303.00,-303.00,0,1.63,0.48,-0.48,0,1.40,0.25,-0.25,0,,,,,,,,,4.15,0.19,-0.19,0,,,,,,,,,517.5340000,22.2910000,-20.5510000,11.6060000,0.0210000,-0.0210000
K2-63 c,1,Published Confirmed,25.45560000,0.00470000,-0.00470000,0,0.189000,0.011000,-0.011000,0,3.900,1.200,-1.200,0,0.348,0.107,-0.107,0,,,,,,,,,,,,,,,,,,139.00,88.00,-88.00,0,,,,,,,,,,,,,6771.00,303.00,-303.00,0,1.63,0.48,-0.48,0,1.40,0.25,-0.25,0,,,,,,,,,4.15,0.19,-0.19,0,,,,,,,,,517.5340000,22.2910000,-20.5510000,11.6060000,0.0210000,-0.0210000
K2-64 b,1,Published Confirmed,6.53044000,0.00067000,-0.00067000,0,0.061900,0.001900,-0.001900,0,2.070,0.260,-0.260,0,0.185,0.023,-0.023,0,,,,,,,,,,,,,,,,,,98.00,23.00,-23.00,0,,,,,,,,,,,,,5312.00,82.00,-82.00,0,0.73,0.08,-0.08,0,0.74,0.07,-0.07,0,,,,,,,,,4.58,0.05,-0.05,0,,,,,,,,,499.8910000,12.9790000,-12.3480000,12.6650000,0.0260000,-0.0260000
K2-65 b,1,Published Confirmed,12.64750000,0.00130000,-0.00130000,0,0.101400,0.003900,-0.003900,0,1.580,0.380,-0.380,0,0.141,0.034,-0.034,0,,,,,,,,,,,,,,,,,,45.00,17.00,-17.00,0,,,,,,,,,,,,,5213.00,336.00,-336.00,0,0.84,0.12,-0.12,0,0.87,0.10,-0.10,0,,,,,,,,,4.53,0.08,-0.08,0,,,,,,,,,,,,8.9670000,0.0350000,-0.0350000
K2-66 b,1,Published Confirmed,5.06963000,0.00081000,-0.00081000,0,0.059830,0.000720,-0.000720,0,2.490,0.340,-0.240,0,0.222,0.030,-0.021,0,21.30000,3.60000,-3.60000,0,0.06702,0.01133,-0.01133,0,Mass,7.80000,2.70000,-2.70000,0,0.000000,,,0,840.00,125.00,-125.00,0,1372,51,-51,0,86.600,2.400,-4.400,0,0.4700,0.3100,-0.3100,0,5887.00,46.00,-46.00,0,1.67,0.12,-0.12,0,1.11,0.04,-0.04,0,-0.047,0.020,-0.020,0,,,,,4.03,0.05,-0.05,0,,,,,,,,,513.8770000,24.1230000,-22.0870000,10.9480000,0.0230000,-0.0230000
K2-68 b,1,Published Confirmed,8.05428000,0.00082000,-0.00082000,0,0.070800,0.003100,-0.003100,0,1.580,0.230,-0.230,0,0.141,0.021,-0.021,0,,,,,,,,,,,,,,,,,,41.00,11.00,-11.00,0,,,,,,,,,,,,,4746.00,96.00,-96.00,0,0.68,0.09,-0.09,0,0.73,0.10,-0.10,0,,,,,,,,,4.63,0.06,-0.06,0,,,,,,,,,168.6520000,1.2580000,-1.2400000,11.1390000,0.0270000,-0.0270000
K2-69 b,1,Published Confirmed,7.06599000,0.00050000,-0.00050000,0,0.059100,0.002500,-0.002500,0,2.320,0.360,-0.360,0,0.207,0.032,-0.032,0,,,,,,,,,,,,,,,,,,17.90,6.00,-6.00,0,,,,,,,,,,,,,4127.00,190.00,-190.00,0,0.49,0.07,-0.07,0,0.55,0.07,-0.07,0,,,,,,,,,4.79,0.06,-0.06,0,,,,,,,,,180.6970000,1.5830000,-1.5560000,12.6080000,0.0220000,-0.0220000
K2-7 b,1,Published Confirmed,28.67992000,0.00947000,-0.00947000,0,0.181400,0.004300,-0.004300,0,2.670,0.560,-0.560,0,0.238,0.050,-0.050,0,,,,,,,,,,,,,,,,,,,,,,651,61,-61,0,,,,,,,,,5772.00,72.00,-91.00,0,0.96,0.17,-0.08,0,0.97,0.06,-0.06,0,-0.070,0.160,-0.160,0,,,,,,,,,,,,,,,,,738.5530000,15.7450000,-15.1130000,11.9520000,0.0220000,-0.0220000
K2-70 b,1,Published Confirmed,13.97896000,0.00095000,-0.00095000,0,0.111200,0.004000,-0.004000,0,2.890,0.470,-0.470,0,0.258,0.042,-0.042,0,,,,,,,,,,,,,,,,,,62.00,22.00,-22.00,0,,,,,,,,,,,,,5622.00,268.00,-268.00,0,0.93,0.14,-0.14,0,0.94,0.10,-0.10,0,,,,,,,,,4.48,0.10,-0.10,0,,,,,,,,,232.9640000,3.5090000,-3.4080000,11.3550000,0.0230000,-0.0230000
K2-71 b,1,Published Confirmed,6.98541000,0.00075000,-0.00075000,0,0.055900,0.002500,-0.002500,0,2.150,0.330,-0.330,0,0.192,0.029,-0.029,0,,,,,,,,,,,,,,,,,,13.40,3.80,-3.80,0,,,,,,,,,,,,,4006.00,133.00,-133.00,0,0.43,0.05,-0.05,0,0.48,0.06,-0.06,0,,,,,,,,,4.85,0.06,-0.06,0,,,,,,,,,153.1920000,1.2300000,-1.2110000,12.5980000,0.0220000,-0.0220000
K2-72 b,1,Published Confirmed,5.57721200,0.00041700,-0.00041900,0,0.040000,0.004000,-0.005000,0,1.080,0.110,-0.110,0,0.096,0.010,-0.010,0,,,,,,,,,,,,,,0.110000,0.196982,-0.087659,0,8.50,1.20,-1.10,0,,,,,89.150,0.590,-0.860,0,,,,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,,,,,,,,,,,,66.4321000,0.2003000,-0.1991000,11.6850000,0.0230000,-0.0230000
K2-72 c,1,Published Confirmed,15.18903400,0.00312800,-0.00314900,0,0.078000,0.007000,-0.010000,0,1.160,0.130,-0.130,0,0.103,0.012,-0.012,0,,,,,,,,,,,,,,0.110000,0.201970,-0.091536,0,2.20,0.30,-0.30,0,,,,,89.540,0.320,-0.440,0,,,,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,,,,,,,,,,,,66.4321000,0.2003000,-0.1991000,11.6850000,0.0230000,-0.0230000
K2-72 d,1,Published Confirmed,7.76017800,0.00149600,-0.00149600,0,0.050000,0.004000,-0.006000,0,1.010,0.120,-0.120,0,0.090,0.011,-0.011,0,,,,,,,,,,,,,,0.110000,0.207832,-0.092330,0,5.40,0.80,-0.70,0,,,,,89.260,0.500,-0.690,0,,,,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,,,,,,,,,,,,66.4321000,0.2003000,-0.1991000,11.6850000,0.0230000,-0.0230000
K2-72 e,1,Published Confirmed,24.15886800,0.00372600,-0.00385000,0,0.106000,0.009000,-0.013000,0,1.290,0.140,-0.130,0,0.115,0.012,-0.012,0,,,,,,,,,,,,,,0.110000,0.198676,-0.086832,0,1.20,0.20,-0.20,0,,,,,89.680,0.220,-0.320,0,,,,,3360.47,87.24,-86.34,0,0.33,0.03,-0.03,0,0.27,0.08,-0.09,0,,,,,,,,,,,,,,,,,,,,,66.4321000,0.2003000,-0.1991000,11.6850000,0.0230000,-0.0230000
K2-73 b,1,Published Confirmed,7.49543000,0.00059000,-0.00059000,0,0.076190,0.000720,-0.000720,0,2.450,0.210,-0.210,0,0.219,0.019,-0.019,0,,,,,,,,,,,,,,,,,,213.00,30.00,-30.00,0,,,,,,,,,,,,,5922.00,76.00,-76.00,0,1.06,0.07,-0.07,0,1.05,0.03,-0.03,0,,,,,,,,,4.41,0.06,-0.06,0,,,,,,,,,269.1830000,2.5390000,-2.4930000,10.6950000,0.0260000,-0.0260000
K2-74 b,1,Published Confirmed,19.56660000,0.00330000,-0.00330000,0,0.140200,0.001500,-0.001500,0,2.310,0.190,-0.190,0,0.206,0.017,-0.017,0,,,,,,,,,,,,,,,,,,59.10,8.10,-8.10,0,,,,,,,,,,,,,6060.00,86.00,-86.00,0,0.98,0.06,-0.06,0,0.96,0.03,-0.03,0,,,,,,,,,4.44,0.06,-0.06,0,,,,,,,,,377.8220000,6.8020000,-6.5700000,11.4270000,0.0270000,-0.0270000
K2-75 b,1,Published Confirmed,7.81420000,0.00210000,-0.00210000,0,0.081000,0.001400,-0.001400,0,2.670,0.320,-0.320,0,0.238,0.029,-0.029,0,,,,,,,,,,,,,,,,,,430.00,88.00,-88.00,0,,,,,,,,,,,,,5995.00,94.00,-94.00,0,1.56,0.15,-0.15,0,1.16,0.06,-0.06,0,,,,,,,,,4.12,0.07,-0.07,0,,,,,,,,,561.9300000,15.3810000,-14.5960000,11.5640000,0.0290000,-0.0290000
K2-75 c,1,Published Confirmed,18.31100000,0.01400000,-0.01400000,0,0.142900,0.002500,-0.002500,0,2.770,0.380,-0.380,0,0.247,0.034,-0.034,0,,,,,,,,,,,,,,,,,,138.00,28.00,-28.00,0,,,,,,,,,,,,,5995.00,94.00,-94.00,0,1.56,0.15,-0.15,0,1.16,0.06,-0.06,0,,,,,,,,,4.12,0.07,-0.07,0,,,,,,,,,561.9300000,15.3810000,-14.5960000,11.5640000,0.0290000,-0.0290000
K2-77 b,1,Published Confirmed,8.19979600,0.00068300,-0.00071900,0,,,,,2.300,0.160,-0.160,0,0.205,0.014,-0.014,0,603.87700,,,1,1.90000,,,1,Mass,,,,,0.140000,0.220000,-0.090000,0,58.00,7.00,-7.00,0,,,,,88.700,0.800,-0.800,0,0.4600,0.2400,-0.3000,0,4970.00,45.00,-45.00,0,0.76,0.03,-0.03,0,0.80,0.12,-0.12,0,0.290,0.060,-0.060,0,-0.500,0.034,-0.037,0,4.47,0.13,-0.13,0,0.850,0.450,-0.450,0,19.80,2.90,-2.90,0,141.7310000,0.8740000,-0.8630000,10.3840000,0.0200000,-0.0200000
K2-79 b,1,Published Confirmed,10.99470000,0.00047000,-0.00047000,0,0.098800,0.001700,-0.002300,0,4.090,0.170,-0.120,0,0.365,0.015,-0.011,0,9.20000,2.40000,-2.40000,0,0.02895,0.00755,-0.00755,0,Mass,0.73000,0.21000,-0.20000,0,0.230000,,,1,181.00,15.00,-15.00,0,1022,20,-20,0,88.440,0.440,-0.440,0,,,,,5897.00,118.00,-118.00,0,1.26,0.04,-0.03,0,1.07,0.06,-0.07,0,0.035,0.060,-0.060,0,,,,,,,,,6.500,1.300,-1.300,0,,,,,256.0110000,2.3490000,-2.3070000,10.3580000,0.0220000,-0.0220000
